index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal                            , cortical  ,     7771.0 
2   , ctx-rh-parsorbitalis                                   , cortical  ,     2668.0 
3   , ctx-rh-frontalpole                                     , cortical  ,      996.0 
4   , ctx-rh-medialorbitofrontal                             , cortical  ,     4621.0 
5   , ctx-rh-parstriangularis                                , cortical  ,     3982.0 
6   , ctx-rh-parsopercularis                                 , cortical  ,     4061.0 
7   , ctx-rh-rostralmiddlefrontal                            , cortical  ,    17288.0 
8   , ctx-rh-superiorfrontal                                 , cortical  ,    19476.0 
9   , ctx-rh-caudalmiddlefrontal                             , cortical  ,     5820.0 
10  , ctx-rh-precentral                                      , cortical  ,    12595.0 
11  , ctx-rh-paracentral                                     , cortical  ,     3666.0 
12  , ctx-rh-rostralanteriorcingulate                        , cortical  ,     2161.0 
13  , ctx-rh-caudalanteriorcingulate                         , cortical  ,     1558.0 
14  , ctx-rh-posteriorcingulate                              , cortical  ,     3007.0 
15  , ctx-rh-isthmuscingulate                                , cortical  ,     2198.0 
16  , ctx-rh-postcentral                                     , cortical  ,     9073.0 
17  , ctx-rh-supramarginal                                   , cortical  ,    11013.0 
18  , ctx-rh-superiorparietal                                , cortical  ,    11972.0 
19  , ctx-rh-inferiorparietal                                , cortical  ,    15926.0 
20  , ctx-rh-precuneus                                       , cortical  ,    10153.0 
21  , ctx-rh-cuneus                                          , cortical  ,     2282.0 
22  , ctx-rh-pericalcarine                                   , cortical  ,     1750.0 
23  , ctx-rh-lateraloccipital                                , cortical  ,     9469.0 
24  , ctx-rh-lingual                                         , cortical  ,     5388.0 
25  , ctx-rh-fusiform                                        , cortical  ,     9186.0 
26  , ctx-rh-parahippocampal                                 , cortical  ,     2256.0 
27  , ctx-rh-entorhinal                                      , cortical  ,     2097.0 
28  , ctx-rh-temporalpole                                    , cortical  ,     2283.0 
29  , ctx-rh-inferiortemporal                                , cortical  ,    11494.0 
30  , ctx-rh-middletemporal                                  , cortical  ,    12136.0 
31  , ctx-rh-bankssts                                        , cortical  ,     2687.0 
32  , ctx-rh-superiortemporal                                , cortical  ,    10144.0 
33  , ctx-rh-transversetemporal                              , cortical  ,      825.0 
34  , ctx-rh-insula                                          , cortical  ,     5742.0 
35  , Right-Thalamus_Proper                                  , subcortical,     7781.0 
36  , Right-Caudate                                          , subcortical,     3495.0 
37  , Right-Putamen                                          , subcortical,     4449.0 
38  , Right-Pallidum                                         , subcortical,     2040.0 
39  , Right-Accumbens_area                                   , subcortical,      502.0 
40  , Right-Hippocampus                                      , subcortical,     3953.0 
41  , Right-Amygdala                                         , subcortical,     1749.0 
42  , ctx-lh-lateralorbitofrontal                            , cortical  ,     8932.0 
43  , ctx-lh-parsorbitalis                                   , cortical  ,     2577.0 
44  , ctx-lh-frontalpole                                     , cortical  ,      837.0 
45  , ctx-lh-medialorbitofrontal                             , cortical  ,     4600.0 
46  , ctx-lh-parstriangularis                                , cortical  ,     4615.0 
47  , ctx-lh-parsopercularis                                 , cortical  ,     5162.0 
48  , ctx-lh-rostralmiddlefrontal                            , cortical  ,    15625.0 
49  , ctx-lh-superiorfrontal                                 , cortical  ,    19668.0 
50  , ctx-lh-caudalmiddlefrontal                             , cortical  ,     5862.0 
51  , ctx-lh-precentral                                      , cortical  ,    12483.0 
52  , ctx-lh-paracentral                                     , cortical  ,     3107.0 
53  , ctx-lh-rostralanteriorcingulate                        , cortical  ,     2670.0 
54  , ctx-lh-caudalanteriorcingulate                         , cortical  ,     1600.0 
55  , ctx-lh-posteriorcingulate                              , cortical  ,     2473.0 
56  , ctx-lh-isthmuscingulate                                , cortical  ,     2311.0 
57  , ctx-lh-postcentral                                     , cortical  ,     8333.0 
58  , ctx-lh-supramarginal                                   , cortical  ,    13550.0 
59  , ctx-lh-superiorparietal                                , cortical  ,    11797.0 
60  , ctx-lh-inferiorparietal                                , cortical  ,    14086.0 
61  , ctx-lh-precuneus                                       , cortical  ,    10234.0 
62  , ctx-lh-cuneus                                          , cortical  ,     2007.0 
63  , ctx-lh-pericalcarine                                   , cortical  ,     1696.0 
64  , ctx-lh-lateraloccipital                                , cortical  ,     9218.0 
65  , ctx-lh-lingual                                         , cortical  ,     5927.0 
66  , ctx-lh-fusiform                                        , cortical  ,    10170.0 
67  , ctx-lh-parahippocampal                                 , cortical  ,     2318.0 
68  , ctx-lh-entorhinal                                      , cortical  ,     2331.0 
69  , ctx-lh-temporalpole                                    , cortical  ,     2619.0 
70  , ctx-lh-inferiortemporal                                , cortical  ,    11974.0 
71  , ctx-lh-middletemporal                                  , cortical  ,    12065.0 
72  , ctx-lh-bankssts                                        , cortical  ,     3334.0 
73  , ctx-lh-superiortemporal                                , cortical  ,     9792.0 
74  , ctx-lh-transversetemporal                              , cortical  ,      843.0 
75  , ctx-lh-insula                                          , cortical  ,     6261.0 
76  , Left-Thalamus_Proper                                   , subcortical,     8518.0 
77  , Left-Caudate                                           , subcortical,     3380.0 
78  , Left-Putamen                                           , subcortical,     4250.0 
79  , Left-Pallidum                                          , subcortical,     1821.0 
80  , Left-Accumbens_area                                    , subcortical,      398.0 
81  , Left-Hippocampus                                       , subcortical,     3893.0 
82  , Left-Amygdala                                          , subcortical,     1642.0 
83  , brainstem                                              , subcortical,    21028.0 
