index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal                            , cortical  ,     7236.0 
2   , ctx-rh-parsorbitalis                                   , cortical  ,     2197.0 
3   , ctx-rh-frontalpole                                     , cortical  ,     1057.0 
4   , ctx-rh-medialorbitofrontal                             , cortical  ,     5666.0 
5   , ctx-rh-parstriangularis                                , cortical  ,     4375.0 
6   , ctx-rh-parsopercularis                                 , cortical  ,     4033.0 
7   , ctx-rh-rostralmiddlefrontal                            , cortical  ,    19712.0 
8   , ctx-rh-superiorfrontal                                 , cortical  ,    22493.0 
9   , ctx-rh-caudalmiddlefrontal                             , cortical  ,     5515.0 
10  , ctx-rh-precentral                                      , cortical  ,    10974.0 
11  , ctx-rh-paracentral                                     , cortical  ,     4006.0 
12  , ctx-rh-rostralanteriorcingulate                        , cortical  ,     2022.0 
13  , ctx-rh-caudalanteriorcingulate                         , cortical  ,     2781.0 
14  , ctx-rh-posteriorcingulate                              , cortical  ,     3326.0 
15  , ctx-rh-isthmuscingulate                                , cortical  ,     2705.0 
16  , ctx-rh-postcentral                                     , cortical  ,     9644.0 
17  , ctx-rh-supramarginal                                   , cortical  ,    10984.0 
18  , ctx-rh-superiorparietal                                , cortical  ,    16183.0 
19  , ctx-rh-inferiorparietal                                , cortical  ,    16954.0 
20  , ctx-rh-precuneus                                       , cortical  ,    11410.0 
21  , ctx-rh-cuneus                                          , cortical  ,     2632.0 
22  , ctx-rh-pericalcarine                                   , cortical  ,     1464.0 
23  , ctx-rh-lateraloccipital                                , cortical  ,    11359.0 
24  , ctx-rh-lingual                                         , cortical  ,     6570.0 
25  , ctx-rh-fusiform                                        , cortical  ,    10215.0 
26  , ctx-rh-parahippocampal                                 , cortical  ,     1880.0 
27  , ctx-rh-entorhinal                                      , cortical  ,     2088.0 
28  , ctx-rh-temporalpole                                    , cortical  ,     2808.0 
29  , ctx-rh-inferiortemporal                                , cortical  ,     9939.0 
30  , ctx-rh-middletemporal                                  , cortical  ,    12675.0 
31  , ctx-rh-bankssts                                        , cortical  ,     3019.0 
32  , ctx-rh-superiortemporal                                , cortical  ,    11518.0 
33  , ctx-rh-transversetemporal                              , cortical  ,      899.0 
34  , ctx-rh-insula                                          , cortical  ,     6342.0 
35  , Right-Thalamus_Proper                                  , subcortical,    10708.0 
36  , Right-Caudate                                          , subcortical,     4256.0 
37  , Right-Putamen                                          , subcortical,     5945.0 
38  , Right-Pallidum                                         , subcortical,     2363.0 
39  , Right-Accumbens_area                                   , subcortical,      730.0 
40  , Right-Hippocampus                                      , subcortical,     4809.0 
41  , Right-Amygdala                                         , subcortical,     1746.0 
42  , ctx-lh-lateralorbitofrontal                            , cortical  ,     8348.0 
43  , ctx-lh-parsorbitalis                                   , cortical  ,     2108.0 
44  , ctx-lh-frontalpole                                     , cortical  ,      932.0 
45  , ctx-lh-medialorbitofrontal                             , cortical  ,     4493.0 
46  , ctx-lh-parstriangularis                                , cortical  ,     3311.0 
47  , ctx-lh-parsopercularis                                 , cortical  ,     4676.0 
48  , ctx-lh-rostralmiddlefrontal                            , cortical  ,    19149.0 
49  , ctx-lh-superiorfrontal                                 , cortical  ,    24421.0 
50  , ctx-lh-caudalmiddlefrontal                             , cortical  ,     7550.0 
51  , ctx-lh-precentral                                      , cortical  ,    12747.0 
52  , ctx-lh-paracentral                                     , cortical  ,     3323.0 
53  , ctx-lh-rostralanteriorcingulate                        , cortical  ,     2432.0 
54  , ctx-lh-caudalanteriorcingulate                         , cortical  ,     1352.0 
55  , ctx-lh-posteriorcingulate                              , cortical  ,     2863.0 
56  , ctx-lh-isthmuscingulate                                , cortical  ,     2449.0 
57  , ctx-lh-postcentral                                     , cortical  ,    11513.0 
58  , ctx-lh-supramarginal                                   , cortical  ,    11941.0 
59  , ctx-lh-superiorparietal                                , cortical  ,    16187.0 
60  , ctx-lh-inferiorparietal                                , cortical  ,    15017.0 
61  , ctx-lh-precuneus                                       , cortical  ,     9928.0 
62  , ctx-lh-cuneus                                          , cortical  ,     2673.0 
63  , ctx-lh-pericalcarine                                   , cortical  ,     1621.0 
64  , ctx-lh-lateraloccipital                                , cortical  ,    10998.0 
65  , ctx-lh-lingual                                         , cortical  ,     6699.0 
66  , ctx-lh-fusiform                                        , cortical  ,     9801.0 
67  , ctx-lh-parahippocampal                                 , cortical  ,     1966.0 
68  , ctx-lh-entorhinal                                      , cortical  ,     2049.0 
69  , ctx-lh-temporalpole                                    , cortical  ,     2459.0 
70  , ctx-lh-inferiortemporal                                , cortical  ,    12378.0 
71  , ctx-lh-middletemporal                                  , cortical  ,    10948.0 
72  , ctx-lh-bankssts                                        , cortical  ,     3869.0 
73  , ctx-lh-superiortemporal                                , cortical  ,    12131.0 
74  , ctx-lh-transversetemporal                              , cortical  ,     1135.0 
75  , ctx-lh-insula                                          , cortical  ,     6084.0 
76  , Left-Thalamus_Proper                                   , subcortical,    11296.0 
77  , Left-Caudate                                           , subcortical,     4065.0 
78  , Left-Putamen                                           , subcortical,     5455.0 
79  , Left-Pallidum                                          , subcortical,     2159.0 
80  , Left-Accumbens_area                                    , subcortical,      446.0 
81  , Left-Hippocampus                                       , subcortical,     4783.0 
82  , Left-Amygdala                                          , subcortical,     1473.0 
83  , brainstem                                              , subcortical,    26414.0 
