index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     3956.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,     3004.0 
3   , ctx-rh-parsorbitalis_1                                 , cortical  ,     2208.0 
4   , ctx-rh-frontalpole_1                                   , cortical  ,      958.0 
5   , ctx-rh-medialorbitofrontal_1                           , cortical  ,     2286.0 
6   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     2661.0 
7   , ctx-rh-parstriangularis_1                              , cortical  ,     3875.0 
8   , ctx-rh-parsopercularis_1                               , cortical  ,     4062.0 
9   , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,    10253.0 
10  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     6503.0 
11  , ctx-rh-superiorfrontal_1                               , cortical  ,     5924.0 
12  , ctx-rh-superiorfrontal_2                               , cortical  ,     6892.0 
13  , ctx-rh-superiorfrontal_3                               , cortical  ,     5510.0 
14  , ctx-rh-superiorfrontal_4                               , cortical  ,     3116.0 
15  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     5701.0 
16  , ctx-rh-precentral_1                                    , cortical  ,     3430.0 
17  , ctx-rh-precentral_2                                    , cortical  ,     3617.0 
18  , ctx-rh-precentral_3                                    , cortical  ,     4387.0 
19  , ctx-rh-paracentral_1                                   , cortical  ,     3626.0 
20  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     1851.0 
21  , ctx-rh-caudalanteriorcingulate_1                       , cortical  ,     2087.0 
22  , ctx-rh-posteriorcingulate_1                            , cortical  ,     3280.0 
23  , ctx-rh-isthmuscingulate_1                              , cortical  ,     2325.0 
24  , ctx-rh-postcentral_1                                   , cortical  ,     3172.0 
25  , ctx-rh-postcentral_2                                   , cortical  ,     5387.0 
26  , ctx-rh-supramarginal_1                                 , cortical  ,     4045.0 
27  , ctx-rh-supramarginal_2                                 , cortical  ,     5142.0 
28  , ctx-rh-superiorparietal_1                              , cortical  ,     3897.0 
29  , ctx-rh-superiorparietal_2                              , cortical  ,     4419.0 
30  , ctx-rh-superiorparietal_3                              , cortical  ,     4122.0 
31  , ctx-rh-inferiorparietal_1                              , cortical  ,     5258.0 
32  , ctx-rh-inferiorparietal_2                              , cortical  ,     3688.0 
33  , ctx-rh-inferiorparietal_3                              , cortical  ,     4975.0 
34  , ctx-rh-precuneus_1                                     , cortical  ,     3831.0 
35  , ctx-rh-precuneus_2                                     , cortical  ,     5691.0 
36  , ctx-rh-cuneus_1                                        , cortical  ,     2386.0 
37  , ctx-rh-pericalcarine_1                                 , cortical  ,     2023.0 
38  , ctx-rh-lateraloccipital_1                              , cortical  ,     3192.0 
39  , ctx-rh-lateraloccipital_2                              , cortical  ,     3678.0 
40  , ctx-rh-lateraloccipital_3                              , cortical  ,     2215.0 
41  , ctx-rh-lingual_1                                       , cortical  ,     3712.0 
42  , ctx-rh-lingual_2                                       , cortical  ,     3005.0 
43  , ctx-rh-fusiform_1                                      , cortical  ,     3735.0 
44  , ctx-rh-fusiform_2                                      , cortical  ,     4482.0 
45  , ctx-rh-parahippocampal_1                               , cortical  ,     2370.0 
46  , ctx-rh-entorhinal_1                                    , cortical  ,     1755.0 
47  , ctx-rh-temporalpole_1                                  , cortical  ,     2263.0 
48  , ctx-rh-inferiortemporal_1                              , cortical  ,     4684.0 
49  , ctx-rh-inferiortemporal_2                              , cortical  ,     4799.0 
50  , ctx-rh-middletemporal_1                                , cortical  ,     4988.0 
51  , ctx-rh-middletemporal_2                                , cortical  ,     6526.0 
52  , ctx-rh-bankssts_1                                      , cortical  ,     2093.0 
53  , ctx-rh-superiortemporal_1                              , cortical  ,     4986.0 
54  , ctx-rh-superiortemporal_2                              , cortical  ,     4596.0 
55  , ctx-rh-transversetemporal_1                            , cortical  ,      655.0 
56  , ctx-rh-insula_1                                        , cortical  ,     2721.0 
57  , ctx-rh-insula_2                                        , cortical  ,     2648.0 
58  , Right-Thalamus_Proper                                  , subcortical,     8115.0 
59  , Right-Caudate                                          , subcortical,     3998.0 
60  , Right-Putamen                                          , subcortical,     5384.0 
61  , Right-Pallidum                                         , subcortical,     2262.0 
62  , Right-Accumbens_area                                   , subcortical,      607.0 
63  , Right-Hippocampus                                      , subcortical,     4273.0 
64  , Right-Amygdala                                         , subcortical,     1564.0 
65  , ctx-lh-lateralorbitofrontal_1                          , cortical  ,     4159.0 
66  , ctx-lh-lateralorbitofrontal_2                          , cortical  ,     3454.0 
67  , ctx-lh-parsorbitalis_1                                 , cortical  ,     2129.0 
68  , ctx-lh-frontalpole_1                                   , cortical  ,      739.0 
69  , ctx-lh-medialorbitofrontal_1                           , cortical  ,     2151.0 
70  , ctx-lh-medialorbitofrontal_2                           , cortical  ,     2317.0 
71  , ctx-lh-parstriangularis_1                              , cortical  ,     2730.0 
72  , ctx-lh-parsopercularis_1                               , cortical  ,     4754.0 
73  , ctx-lh-rostralmiddlefrontal_1                          , cortical  ,     9210.0 
74  , ctx-lh-rostralmiddlefrontal_2                          , cortical  ,     6232.0 
75  , ctx-lh-superiorfrontal_1                               , cortical  ,     5903.0 
76  , ctx-lh-superiorfrontal_2                               , cortical  ,     6694.0 
77  , ctx-lh-superiorfrontal_3                               , cortical  ,     6223.0 
78  , ctx-lh-superiorfrontal_4                               , cortical  ,     4460.0 
79  , ctx-lh-caudalmiddlefrontal_1                           , cortical  ,     6236.0 
80  , ctx-lh-precentral_1                                    , cortical  ,     3220.0 
81  , ctx-lh-precentral_2                                    , cortical  ,     3662.0 
82  , ctx-lh-precentral_3                                    , cortical  ,     4736.0 
83  , ctx-lh-paracentral_1                                   , cortical  ,     3498.0 
84  , ctx-lh-rostralanteriorcingulate_1                      , cortical  ,     2833.0 
85  , ctx-lh-caudalanteriorcingulate_1                       , cortical  ,     1914.0 
86  , ctx-lh-posteriorcingulate_1                            , cortical  ,     3355.0 
87  , ctx-lh-isthmuscingulate_1                              , cortical  ,     2146.0 
88  , ctx-lh-postcentral_1                                   , cortical  ,     3620.0 
89  , ctx-lh-postcentral_2                                   , cortical  ,     5748.0 
90  , ctx-lh-supramarginal_1                                 , cortical  ,     4323.0 
91  , ctx-lh-supramarginal_2                                 , cortical  ,     6934.0 
92  , ctx-lh-superiorparietal_1                              , cortical  ,     4938.0 
93  , ctx-lh-superiorparietal_2                              , cortical  ,     3607.0 
94  , ctx-lh-superiorparietal_3                              , cortical  ,     3746.0 
95  , ctx-lh-inferiorparietal_1                              , cortical  ,     3183.0 
96  , ctx-lh-inferiorparietal_2                              , cortical  ,     3262.0 
97  , ctx-lh-inferiorparietal_3                              , cortical  ,     3639.0 
98  , ctx-lh-precuneus_1                                     , cortical  ,     4024.0 
99  , ctx-lh-precuneus_2                                     , cortical  ,     5354.0 
100 , ctx-lh-cuneus_1                                        , cortical  ,     2309.0 
101 , ctx-lh-pericalcarine_1                                 , cortical  ,     2157.0 
102 , ctx-lh-lateraloccipital_1                              , cortical  ,     2484.0 
103 , ctx-lh-lateraloccipital_2                              , cortical  ,     3316.0 
104 , ctx-lh-lateraloccipital_3                              , cortical  ,     3099.0 
105 , ctx-lh-lingual_1                                       , cortical  ,     3840.0 
106 , ctx-lh-lingual_2                                       , cortical  ,     2437.0 
107 , ctx-lh-fusiform_1                                      , cortical  ,     3861.0 
108 , ctx-lh-fusiform_2                                      , cortical  ,     4784.0 
109 , ctx-lh-parahippocampal_1                               , cortical  ,     1932.0 
110 , ctx-lh-entorhinal_1                                    , cortical  ,     1761.0 
111 , ctx-lh-temporalpole_1                                  , cortical  ,     2831.0 
112 , ctx-lh-inferiortemporal_1                              , cortical  ,     6206.0 
113 , ctx-lh-inferiortemporal_2                              , cortical  ,     6487.0 
114 , ctx-lh-middletemporal_1                                , cortical  ,     3315.0 
115 , ctx-lh-middletemporal_2                                , cortical  ,     5295.0 
116 , ctx-lh-bankssts_1                                      , cortical  ,     1716.0 
