index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     3763.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,     2553.0 
3   , ctx-rh-parsorbitalis_1                                 , cortical  ,     2596.0 
4   , ctx-rh-frontalpole_1                                   , cortical  ,      980.0 
5   , ctx-rh-medialorbitofrontal_1                           , cortical  ,     2292.0 
6   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     2517.0 
7   , ctx-rh-parstriangularis_1                              , cortical  ,     3851.0 
8   , ctx-rh-parsopercularis_1                               , cortical  ,     3593.0 
9   , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     7002.0 
10  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     5577.0 
11  , ctx-rh-superiorfrontal_1                               , cortical  ,     5509.0 
12  , ctx-rh-superiorfrontal_2                               , cortical  ,     5992.0 
13  , ctx-rh-superiorfrontal_3                               , cortical  ,     5127.0 
14  , ctx-rh-superiorfrontal_4                               , cortical  ,     3180.0 
15  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     4998.0 
16  , ctx-rh-precentral_1                                    , cortical  ,     3264.0 
17  , ctx-rh-precentral_2                                    , cortical  ,     3587.0 
18  , ctx-rh-precentral_3                                    , cortical  ,     3966.0 
19  , ctx-rh-paracentral_1                                   , cortical  ,     3270.0 
20  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     1596.0 
21  , ctx-rh-caudalanteriorcingulate_1                       , cortical  ,     1680.0 
22  , ctx-rh-posteriorcingulate_1                            , cortical  ,     2637.0 
23  , ctx-rh-isthmuscingulate_1                              , cortical  ,     2077.0 
24  , ctx-rh-postcentral_1                                   , cortical  ,     2907.0 
25  , ctx-rh-postcentral_2                                   , cortical  ,     4442.0 
26  , ctx-rh-supramarginal_1                                 , cortical  ,     3862.0 
27  , ctx-rh-supramarginal_2                                 , cortical  ,     4724.0 
28  , ctx-rh-superiorparietal_1                              , cortical  ,     3472.0 
29  , ctx-rh-superiorparietal_2                              , cortical  ,     3933.0 
30  , ctx-rh-superiorparietal_3                              , cortical  ,     4638.0 
31  , ctx-rh-inferiorparietal_1                              , cortical  ,     4314.0 
32  , ctx-rh-inferiorparietal_2                              , cortical  ,     3630.0 
33  , ctx-rh-inferiorparietal_3                              , cortical  ,     4441.0 
34  , ctx-rh-precuneus_1                                     , cortical  ,     3966.0 
35  , ctx-rh-precuneus_2                                     , cortical  ,     4389.0 
36  , ctx-rh-cuneus_1                                        , cortical  ,     2806.0 
37  , ctx-rh-pericalcarine_1                                 , cortical  ,     1780.0 
38  , ctx-rh-lateraloccipital_1                              , cortical  ,     3163.0 
39  , ctx-rh-lateraloccipital_2                              , cortical  ,     3838.0 
40  , ctx-rh-lateraloccipital_3                              , cortical  ,     2268.0 
41  , ctx-rh-lingual_1                                       , cortical  ,     2628.0 
42  , ctx-rh-lingual_2                                       , cortical  ,     1736.0 
43  , ctx-rh-fusiform_1                                      , cortical  ,     3611.0 
44  , ctx-rh-fusiform_2                                      , cortical  ,     4382.0 
45  , ctx-rh-parahippocampal_1                               , cortical  ,     1750.0 
46  , ctx-rh-entorhinal_1                                    , cortical  ,     2062.0 
47  , ctx-rh-temporalpole_1                                  , cortical  ,     2263.0 
48  , ctx-rh-inferiortemporal_1                              , cortical  ,     4916.0 
49  , ctx-rh-inferiortemporal_2                              , cortical  ,     5092.0 
