index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal                            , cortical  ,     6327.0 
2   , ctx-rh-parsorbitalis                                   , cortical  ,     2319.0 
3   , ctx-rh-frontalpole                                     , cortical  ,      974.0 
4   , ctx-rh-medialorbitofrontal                             , cortical  ,     4542.0 
5   , ctx-rh-parstriangularis                                , cortical  ,     3628.0 
6   , ctx-rh-parsopercularis                                 , cortical  ,     3553.0 
7   , ctx-rh-rostralmiddlefrontal                            , cortical  ,    16248.0 
8   , ctx-rh-superiorfrontal                                 , cortical  ,    18831.0 
9   , ctx-rh-caudalmiddlefrontal                             , cortical  ,     5595.0 
10  , ctx-rh-precentral                                      , cortical  ,    10200.0 
11  , ctx-rh-paracentral                                     , cortical  ,     2926.0 
12  , ctx-rh-rostralanteriorcingulate                        , cortical  ,     1641.0 
13  , ctx-rh-caudalanteriorcingulate                         , cortical  ,     1942.0 
14  , ctx-rh-posteriorcingulate                              , cortical  ,     2778.0 
15  , ctx-rh-isthmuscingulate                                , cortical  ,     1745.0 
16  , ctx-rh-postcentral                                     , cortical  ,     7208.0 
17  , ctx-rh-supramarginal                                   , cortical  ,     9189.0 
18  , ctx-rh-superiorparietal                                , cortical  ,    11785.0 
19  , ctx-rh-inferiorparietal                                , cortical  ,    12012.0 
20  , ctx-rh-precuneus                                       , cortical  ,     8362.0 
21  , ctx-rh-cuneus                                          , cortical  ,     2425.0 
22  , ctx-rh-pericalcarine                                   , cortical  ,     1962.0 
23  , ctx-rh-lateraloccipital                                , cortical  ,     8607.0 
24  , ctx-rh-lingual                                         , cortical  ,     4530.0 
25  , ctx-rh-fusiform                                        , cortical  ,     8449.0 
26  , ctx-rh-parahippocampal                                 , cortical  ,     1855.0 
27  , ctx-rh-entorhinal                                      , cortical  ,     2041.0 
28  , ctx-rh-temporalpole                                    , cortical  ,     2309.0 
29  , ctx-rh-inferiortemporal                                , cortical  ,     8715.0 
30  , ctx-rh-middletemporal                                  , cortical  ,     8634.0 
31  , ctx-rh-bankssts                                        , cortical  ,     1906.0 
32  , ctx-rh-superiortemporal                                , cortical  ,    10535.0 
33  , ctx-rh-transversetemporal                              , cortical  ,      692.0 
34  , ctx-rh-insula                                          , cortical  ,     4747.0 
35  , Right-Thalamus_Proper                                  , subcortical,     6822.0 
36  , Right-Caudate                                          , subcortical,     3266.0 
37  , Right-Putamen                                          , subcortical,     4312.0 
38  , Right-Pallidum                                         , subcortical,     1986.0 
39  , Right-Accumbens_area                                   , subcortical,      461.0 
40  , Right-Hippocampus                                      , subcortical,     4651.0 
41  , Right-Amygdala                                         , subcortical,     1689.0 
42  , ctx-lh-lateralorbitofrontal                            , cortical  ,     6954.0 
43  , ctx-lh-parsorbitalis                                   , cortical  ,     1841.0 
44  , ctx-lh-frontalpole                                     , cortical  ,      716.0 
45  , ctx-lh-medialorbitofrontal                             , cortical  ,     3536.0 
46  , ctx-lh-parstriangularis                                , cortical  ,     2925.0 
47  , ctx-lh-parsopercularis                                 , cortical  ,     4473.0 
48  , ctx-lh-rostralmiddlefrontal                            , cortical  ,    14714.0 
49  , ctx-lh-superiorfrontal                                 , cortical  ,    20451.0 
50  , ctx-lh-caudalmiddlefrontal                             , cortical  ,     6925.0 
51  , ctx-lh-precentral                                      , cortical  ,     9891.0 
52  , ctx-lh-paracentral                                     , cortical  ,     2643.0 
53  , ctx-lh-rostralanteriorcingulate                        , cortical  ,     2621.0 
54  , ctx-lh-caudalanteriorcingulate                         , cortical  ,     1785.0 
55  , ctx-lh-posteriorcingulate                              , cortical  ,     2703.0 
56  , ctx-lh-isthmuscingulate                                , cortical  ,     1912.0 
57  , ctx-lh-postcentral                                     , cortical  ,     7352.0 
58  , ctx-lh-supramarginal                                   , cortical  ,     8156.0 
59  , ctx-lh-superiorparietal                                , cortical  ,    11322.0 
60  , ctx-lh-inferiorparietal                                , cortical  ,    11660.0 
61  , ctx-lh-precuneus                                       , cortical  ,     7695.0 
62  , ctx-lh-cuneus                                          , cortical  ,     2553.0 
63  , ctx-lh-pericalcarine                                   , cortical  ,     2039.0 
64  , ctx-lh-lateraloccipital                                , cortical  ,     8284.0 
65  , ctx-lh-lingual                                         , cortical  ,     4784.0 
66  , ctx-lh-fusiform                                        , cortical  ,     7896.0 
67  , ctx-lh-parahippocampal                                 , cortical  ,     2021.0 
68  , ctx-lh-entorhinal                                      , cortical  ,     2051.0 
69  , ctx-lh-temporalpole                                    , cortical  ,     2643.0 
70  , ctx-lh-inferiortemporal                                , cortical  ,     8824.0 
71  , ctx-lh-middletemporal                                  , cortical  ,     8883.0 
72  , ctx-lh-bankssts                                        , cortical  ,     2284.0 
73  , ctx-lh-superiortemporal                                , cortical  ,    10439.0 
74  , ctx-lh-transversetemporal                              , cortical  ,      928.0 
75  , ctx-lh-insula                                          , cortical  ,     5236.0 
76  , Left-Thalamus_Proper                                   , subcortical,     7529.0 
77  , Left-Caudate                                           , subcortical,     3246.0 
78  , Left-Putamen                                           , subcortical,     4414.0 
79  , Left-Pallidum                                          , subcortical,     1831.0 
80  , Left-Accumbens_area                                    , subcortical,      390.0 
81  , Left-Hippocampus                                       , subcortical,     4027.0 
82  , Left-Amygdala                                          , subcortical,     1435.0 
83  , brainstem                                              , subcortical,    18218.0 
