index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     3630.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,     2697.0 
3   , ctx-rh-parsorbitalis_1                                 , cortical  ,     2319.0 
4   , ctx-rh-frontalpole_1                                   , cortical  ,      974.0 
5   , ctx-rh-medialorbitofrontal_1                           , cortical  ,     2371.0 
6   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     2171.0 
7   , ctx-rh-parstriangularis_1                              , cortical  ,     3628.0 
8   , ctx-rh-parsopercularis_1                               , cortical  ,     3553.0 
9   , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     9217.0 
10  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     7031.0 
11  , ctx-rh-superiorfrontal_1                               , cortical  ,     5633.0 
12  , ctx-rh-superiorfrontal_2                               , cortical  ,     6607.0 
13  , ctx-rh-superiorfrontal_3                               , cortical  ,     4131.0 
14  , ctx-rh-superiorfrontal_4                               , cortical  ,     2460.0 
15  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     5595.0 
16  , ctx-rh-precentral_1                                    , cortical  ,     2715.0 
17  , ctx-rh-precentral_2                                    , cortical  ,     3509.0 
18  , ctx-rh-precentral_3                                    , cortical  ,     3976.0 
19  , ctx-rh-paracentral_1                                   , cortical  ,     2926.0 
20  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     1641.0 
21  , ctx-rh-caudalanteriorcingulate_1                       , cortical  ,     1942.0 
22  , ctx-rh-posteriorcingulate_1                            , cortical  ,     2778.0 
23  , ctx-rh-isthmuscingulate_1                              , cortical  ,     1745.0 
24  , ctx-rh-postcentral_1                                   , cortical  ,     2654.0 
25  , ctx-rh-postcentral_2                                   , cortical  ,     4554.0 
26  , ctx-rh-supramarginal_1                                 , cortical  ,     3968.0 
27  , ctx-rh-supramarginal_2                                 , cortical  ,     5221.0 
28  , ctx-rh-superiorparietal_1                              , cortical  ,     4046.0 
29  , ctx-rh-superiorparietal_2                              , cortical  ,     3761.0 
30  , ctx-rh-superiorparietal_3                              , cortical  ,     3978.0 
31  , ctx-rh-inferiorparietal_1                              , cortical  ,     4739.0 
32  , ctx-rh-inferiorparietal_2                              , cortical  ,     3522.0 
33  , ctx-rh-inferiorparietal_3                              , cortical  ,     3751.0 
34  , ctx-rh-precuneus_1                                     , cortical  ,     3670.0 
35  , ctx-rh-precuneus_2                                     , cortical  ,     4692.0 
36  , ctx-rh-cuneus_1                                        , cortical  ,     2425.0 
37  , ctx-rh-pericalcarine_1                                 , cortical  ,     1962.0 
38  , ctx-rh-lateraloccipital_1                              , cortical  ,     2669.0 
39  , ctx-rh-lateraloccipital_2                              , cortical  ,     3579.0 
40  , ctx-rh-lateraloccipital_3                              , cortical  ,     2359.0 
41  , ctx-rh-lingual_1                                       , cortical  ,     3016.0 
42  , ctx-rh-lingual_2                                       , cortical  ,     1514.0 
43  , ctx-rh-fusiform_1                                      , cortical  ,     2937.0 
44  , ctx-rh-fusiform_2                                      , cortical  ,     5512.0 
45  , ctx-rh-parahippocampal_1                               , cortical  ,     1855.0 
46  , ctx-rh-entorhinal_1                                    , cortical  ,     2041.0 
47  , ctx-rh-temporalpole_1                                  , cortical  ,     2309.0 
48  , ctx-rh-inferiortemporal_1                              , cortical  ,     4887.0 
49  , ctx-rh-inferiortemporal_2                              , cortical  ,     3828.0 
50  , ctx-rh-middletemporal_1                                , cortical  ,     3326.0 
51  , ctx-rh-middletemporal_2                                , cortical  ,     5308.0 
52  , ctx-rh-bankssts_1                                      , cortical  ,     1906.0 
53  , ctx-rh-superiortemporal_1                              , cortical  ,     5616.0 
54  , ctx-rh-superiortemporal_2                              , cortical  ,     4919.0 
55  , ctx-rh-transversetemporal_1                            , cortical  ,      692.0 
56  , ctx-rh-insula_1                                        , cortical  ,     2441.0 
57  , ctx-rh-insula_2                                        , cortical  ,     2306.0 
58  , Right-Thalamus_Proper                                  , subcortical,     6822.0 
59  , Right-Caudate                                          , subcortical,     3266.0 
60  , Right-Putamen                                          , subcortical,     4312.0 
61  , Right-Pallidum                                         , subcortical,     1986.0 
62  , Right-Accumbens_area                                   , subcortical,      461.0 
63  , Right-Hippocampus                                      , subcortical,     4651.0 
64  , Right-Amygdala                                         , subcortical,     1689.0 
65  , ctx-lh-lateralorbitofrontal_1                          , cortical  ,     3823.0 
66  , ctx-lh-lateralorbitofrontal_2                          , cortical  ,     3131.0 
67  , ctx-lh-parsorbitalis_1                                 , cortical  ,     1841.0 
68  , ctx-lh-frontalpole_1                                   , cortical  ,      716.0 
69  , ctx-lh-medialorbitofrontal_1                           , cortical  ,     1769.0 
70  , ctx-lh-medialorbitofrontal_2                           , cortical  ,     1767.0 
71  , ctx-lh-parstriangularis_1                              , cortical  ,     2925.0 
72  , ctx-lh-parsopercularis_1                               , cortical  ,     4473.0 
73  , ctx-lh-rostralmiddlefrontal_1                          , cortical  ,     8820.0 
74  , ctx-lh-rostralmiddlefrontal_2                          , cortical  ,     5894.0 
75  , ctx-lh-superiorfrontal_1                               , cortical  ,     5725.0 
76  , ctx-lh-superiorfrontal_2                               , cortical  ,     6031.0 
77  , ctx-lh-superiorfrontal_3                               , cortical  ,     5524.0 
78  , ctx-lh-superiorfrontal_4                               , cortical  ,     3171.0 
79  , ctx-lh-caudalmiddlefrontal_1                           , cortical  ,     6925.0 
80  , ctx-lh-precentral_1                                    , cortical  ,     2988.0 
81  , ctx-lh-precentral_2                                    , cortical  ,     3305.0 
82  , ctx-lh-precentral_3                                    , cortical  ,     3598.0 
83  , ctx-lh-paracentral_1                                   , cortical  ,     2643.0 
