COND	DIREC	ACC	RT	nameCOND	nameDIREC	outliers	bad_trials
0	0	0	NaN	RANDOM	NONE	1	0
0	0	1	0.674016326048331	RANDOM	NONE	0	0
0	0	1	0.63309375101926	RANDOM	NONE	0	0
0	0	1	0.539950340900759	RANDOM	NONE	0	0
1	180	1	0.40987078733724	COHERENT	LEFT	0	0
0	0	1	0.594674354389099	RANDOM	NONE	0	0
0	0	1	0.523457374430109	RANDOM	NONE	0	0
0	0	1	0.544407042826606	RANDOM	NONE	0	0
0	0	1	0.624115451067155	RANDOM	NONE	0	0
1	180	1	0.515079438862813	COHERENT	LEFT	0	0
0	0	1	0.622886047278371	RANDOM	NONE	0	0
1	180	1	0.937722080490857	COHERENT	LEFT	0	0
1	180	1	0.738536028503404	COHERENT	LEFT	0	0
1	180	1	0.833319649815166	COHERENT	LEFT	0	0
1	0	1	0.738957400388244	COHERENT	RIGHT	0	0
1	180	1	0.494903996030189	COHERENT	LEFT	0	0
1	180	1	0.772658699638669	COHERENT	LEFT	0	0
0	0	1	0.55357610712781	RANDOM	NONE	0	0
1	0	1	0.653402306316821	COHERENT	RIGHT	0	0
1	180	1	0.469197594436991	COHERENT	LEFT	0	0
0	0	1	0.729957065947929	RANDOM	NONE	0	0
1	0	1	0.659875918657235	COHERENT	RIGHT	0	0
0	0	1	0.629632223237422	RANDOM	NONE	0	0
0	0	1	0.713436631825971	RANDOM	NONE	0	0
0	0	1	0.7651965536852	RANDOM	NONE	0	0
0	0	1	0.598151276128192	RANDOM	NONE	0	0
1	0	1	0.54990570445716	COHERENT	RIGHT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	0.634437854891075	RANDOM	NONE	0	0
0	0	1	0.604402128833499	RANDOM	NONE	0	0
1	180	1	0.509057684483196	COHERENT	LEFT	0	0
0	0	1	0.544983259825131	RANDOM	NONE	0	0
0	0	1	0.679741067579926	RANDOM	NONE	0	0
0	0	1	0.759636014377065	RANDOM	NONE	0	0
0	0	1	0.589427731099022	RANDOM	NONE	0	0
1	0	1	0.709102779725981	COHERENT	RIGHT	0	0
0	0	1	0.748174155777633	RANDOM	NONE	0	0
0	0	1	0.634623186078898	RANDOM	NONE	0	0
1	180	1	0.513818341630213	COHERENT	LEFT	0	0
1	180	1	0.768590166942886	COHERENT	LEFT	0	0
0	0	1	0.629386825426991	RANDOM	NONE	0	0
0	0	1	0.778904722866173	RANDOM	NONE	0	0
0	0	1	0.540097941797285	RANDOM	NONE	0	0
1	0	1	0.55446865488193	COHERENT	RIGHT	0	0
1	0	1	0.729643149929871	COHERENT	RIGHT	0	0
0	0	1	0.483415877148218	RANDOM	NONE	0	0
0	0	1	0.728958269694886	RANDOM	NONE	0	0
1	0	1	0.56902801941942	COHERENT	RIGHT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	1	0.889669687906462	COHERENT	LEFT	0	0
0	0	1	0.490318407431005	RANDOM	NONE	0	0
0	0	1	0.748346205902635	RANDOM	NONE	0	0
1	0	1	0.624012824676356	COHERENT	RIGHT	0	0
0	0	1	0.639910859924385	RANDOM	NONE	0	0
0	0	1	0.59482437002498	RANDOM	NONE	0	0
0	0	1	0.719592102355818	RANDOM	NONE	0	0
0	0	1	0.739364585684598	RANDOM	NONE	0	0
0	0	1	0.93790741167868	RANDOM	NONE	0	0
0	0	1	0.702916823121996	RANDOM	NONE	0	0
1	0	1	0.54471884594841	COHERENT	RIGHT	0	0
0	0	1	0.758628766539005	RANDOM	NONE	0	0
0	0	1	0.589434975315271	RANDOM	NONE	0	0
0	0	1	0.82819044318876	RANDOM	NONE	0	0
1	180	1	0.545116070447875	COHERENT	LEFT	0	0
0	0	1	0.6897909077843	RANDOM	NONE	0	0
1	0	1	0.588663164491663	COHERENT	RIGHT	0	0
0	0	1	0.574325352219603	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	180	1	0.929006081519219	COHERENT	LEFT	0	0
1	180	1	0.588806841436963	COHERENT	LEFT	0	0
