name	x	y	z
A1	-29.993202	-3.765579	84.516724
A2	-45.007427	-2.81913799999999	78.619141
A3	-58.898354	-10.449974	70.480774
A4	-71.654221	-10.973541	58.136948
A5	-79.292419	13.06012	44.363907
A6	-69.713623	38.381531	51.522598
A7	-77.248398	41.39402	33.442688
A8	-85.076744	38.807873	15.025284
A9	-84.64888	42.530582	1.968979
A10	-85.613419	40.903618	-16.601975
A11	-81.248276	41.639332	-32.953606
A12	-77.183136	41.359074	-49.410713
A13	-86.621391	17.359459	-47.860763
A14	-91.909538	16.388588	-30.415626
A15	-95.060257	13.578186	-13.696877
A16	-95.612724	13.8869319999999	1.471924
A17	-91.097824	15.409264	18.146866
A18	-86.265381	18.474274	31.044251
A19	-80.294685	-8.50312800000001	44.430512
A20	-85.725792	-9.39902499999998	30.498932
A21	-90.99691	-8.328957	17.070373
A22	-95.315056	-8.78856700000005	-1.439362
A23	-94.657715	-5.94360399999999	-21.825882
A24	-90.911232	-5.16212500000001	-36.578255
A25	-86.526001	-7.39624799999999	-51.360763
A26	-82.359505	-28.255661	-48.548142
A27	-86.310898	-30.805512	-36.330116
A28	-89.857925	-29.931663	-16.346977
A29	-88.933426	-32.655258	-0.834015
A30	-85.930435	-32.249016	15.931397
A31	-78.685623	-37.099533	33.004074
A32	-73.795281	-31.365807	48.389862
B1	-29.400757	-20.577271	82.266678
B2	-47.33696	-31.288063	74.330139
B3	-57.990852	-50.845352	52.705032
B4	-61.567875	-57.259033	35.469284
B5	-69.470337	-55.163467	16.266983
B6	-72.022247	-53.727051	-0.210434
B7	-69.430542	-55.496399	-18.070877
B8	-73.438049	-49.693832	-35.338203
B9	-66.866272	-49.595871	-52.609268
B10	-50.537697	-67.611267	-30.280258
B11	-50.833202	-68.911713	-12.190834
B12	-50.390892	-70.307983	4.715729
B13	-53.242836	-67.022324	22.384613
B14	-24.630981	-79.262176	-5.280579
B15	-27.366837	-77.679764	10.409821
B16	-30.717827	-77.615021	26.352158
B17	-32.974548	-71.581146	43.128433
B18	-37.78249	-63.341583	54.708695
B19	-45.853264	-47.063797	67.277542
B20	-24.966942	-35.654549	79.714157
B21	-19.146347	-51.138779	71.536453
B22	-16.436272	-63.09343	61.499466
B23	-8.93347900000002	-71.711258	50.451492
B24	-5.754616	-78.016373	38.506302
B25	-1.88134800000001	-81.2117	16.915695
B26	2.005485	-81.742798	6.890457
B27	27.306206	-76.61673	14.961258
B28	24.586647	-73.518921	31.322861
B29	17.480499	-70.156937	44.450211
B30	15.520088	-61.703919	57.545639
B31	6.89503500000001	-53.49408	68.079422
B32	2.333481	-34.900581	78.881775
C1	-12.717926	-11.268448	85.220047
C2	-2.332024	-24.84288	82.935806
C3	23.988968	-36.141808	74.157166
C4	36.648666	-43.502533	66.722641
C5	40.111374	-57.246033	51.019821
C6	49.49144	-59.142151	40.920746
C7	55.360245	-62.315842	24.892288
C8	75.609711	-45.126114	36.6362
C9	66.912872	-42.269974	48.307648
C10	56.269257	-39.555359	58.20546
C11	15.63076	-17.417473	82.95929
C12	34.496216	-16.29628	78.13707
C13	48.274582	-17.656708	73.390137
C14	63.812897	-17.006668	65.197449
C15	74.764557	-15.362404	56.320358
C16	84.342651	-16.63398	44.430679
C17	85.261856	11.397629	41.774979
C18	74.291565	9.353767	55.398132
C19	63.816727	5.709877	65.220123
C20	52.10347	5.278351	73.301331
C21	37.926636	2.850952	79.512512
C22	17.26416	2.336349	83.910568
C23	-1.31260699999999	0.598487999999997	86.002563
C24	6.888001	25.55587	82.507507
C25	29.325592	24.903709	76.79126
C26	41.953705	31.452164	69.3116
C27	58.732895	26.510807	62.308411
C28	66.990189	31.834755	51.607224
C29	77.2052	35.183716	38.572601
C30	58.033966	53.836662	29.830353
C31	48.147522	54.073475	41.778503
C32	40.294006	48.952164	55.778656
D1	-18.631821	3.38482699999999	86.80304
D2	-10.861641	21.596481	84.085983
D3	9.85165400000001	44.79847	73.054352
D4	20.457268	52.884335	61.984039
D5	19.279953	63.936707	50.016312
D6	27.256691	66.04451	35.939896
D7	33.104263	70.596626	18.608887
D8	7.887558	79.100487	9.591431
D9	3.013161	76.17202	27.829163
D10	-2.87747199999999	72.100227	45.626907
D11	-4.20077500000003	65.254242	57.931961
D12	-9.68957500000001	56.213261	67.673874
D13	-7.762215	39.221115	78.795593
D14	-32.375328	27.30492	81.112274
D15	-37.824039	10.351219	82.623734
D16	-52.858135	15.098091	75.772278
D17	-55.683643	36.963104	68.531708
D18	-31.980354	47.200523	72.782852
D19	-29.740265	61.680859	61.35376
D20	-28.613083	70.017548	48.126282
D21	-25.272972	75.470901	32.971512
D22	-21.94268	77.531067	20.523285
D23	-18.568115	80.530571	-1.471313
D24	-46.319649	73.549728	-3.310379
D25	-47.658493	72.781532	15.254288
D26	-48.931332	68.746666	31.508804
D27	-52.10582	60.942528	44.394974
D28	-53.705208	50.610874	59.106064
D29	-69.20723	56.955772	22.189239
D30	-65.018883	62.447342	7.297775
D31	-64.142639	62.164589	-12.745102
D32	-63.300942	61.218052	-29.567772
