COND	DIREC	ACC	RT	nameCOND	nameDIREC	outliers	bad_trials
0	0	1	1.19035256119969	RANDOM	NONE	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	1	0.763804823568535	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	1.10930966826618	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.653695251893623	COHERENT	RIGHT	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	1	1.044427238975	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	1	0.858783241269521	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.669049775121493	COHERENT	RIGHT	0	0
0	0	1	0.750187449062651	RANDOM	NONE	0	0
0	0	1	1.04890488695673	RANDOM	NONE	0	0
0	0	1	1.07879923933706	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.590121947539046	COHERENT	RIGHT	0	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	1	0.764764707658287	RANDOM	NONE	0	0
0	0	1	0.814500890458476	RANDOM	NONE	0	0
1	180	1	0.629354945817795	COHERENT	LEFT	0	0
1	180	1	0.628167164720253	COHERENT	LEFT	0	0
1	0	1	0.628999667964308	COHERENT	RIGHT	0	0
0	0	1	0.853807842071546	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.778382987714394	COHERENT	RIGHT	0	0
1	0	1	0.723250022639149	COHERENT	RIGHT	0	0
0	0	1	0.533017597874277	RANDOM	NONE	0	0
1	180	1	0.659871109904088	COHERENT	LEFT	0	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	1	0.834383168825298	RANDOM	NONE	0	0
1	180	1	0.849205831748804	COHERENT	LEFT	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.994813305562275	COHERENT	RIGHT	0	0
0	0	1	0.742593196293456	RANDOM	NONE	0	0
1	0	1	0.794367774457896	COHERENT	RIGHT	0	0
1	0	1	0.774286878566272	COHERENT	RIGHT	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	1	0.974343022729954	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	1.03314045096431	RANDOM	NONE	0	0
1	0	1	0.808692384315691	COHERENT	RIGHT	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.833268737359504	COHERENT	RIGHT	0	0
0	0	1	0.594301367382286	RANDOM	NONE	0	0
1	180	1	0.819078149052984	COHERENT	LEFT	0	0
1	180	1	0.90785988107109	COHERENT	LEFT	0	0
0	0	1	0.899619668568448	RANDOM	NONE	0	0
0	0	1	0.769528509764314	RANDOM	NONE	0	0
0	0	1	0.95331824081677	RANDOM	NONE	0	0
0	0	1	0.938116755712144	RANDOM	NONE	0	0
1	0	1	0.659744030909678	COHERENT	RIGHT	0	0
0	0	1	1.0886054514167	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.838076005916264	COHERENT	RIGHT	0	0
0	0	1	0.884815418515245	RANDOM	NONE	0	0
0	0	1	0.753619185607931	RANDOM	NONE	0	0
0	0	1	0.779539678227593	RANDOM	NONE	0	0
1	0	1	0.694320082103332	COHERENT	RIGHT	0	0
1	180	1	0.838110115005293	COHERENT	LEFT	0	0
1	0	1	0.744826586978888	COHERENT	RIGHT	0	0
0	0	1	1.19460110477212	RANDOM	NONE	0	0
0	0	1	0.994474931329023	RANDOM	NONE	0	0
1	0	1	0.788128527876324	COHERENT	RIGHT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	1	0.774737239275964	COHERENT	LEFT	0	0
1	180	1	0.769562317002965	COHERENT	LEFT	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	1	0.96806000784818	RANDOM	NONE	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
1	180	1	0.774573636390414	COHERENT	LEFT	0	0
1	180	1	0.819340758852377	COHERENT	LEFT	0	0
1	180	1	0.809165383802792	COHERENT	LEFT	0	0
0	0	1	0.945038787768681	RANDOM	NONE	0	0
0	0	1	0.953387062693764	RANDOM	NONE	0	0
1	0	1	0.718614808777602	COHERENT	RIGHT	0	0
1	0	1	0.849332005192082	COHERENT	RIGHT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	0	1	0.690017205469303	COHERENT	RIGHT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	1	0.799160252347065	COHERENT	LEFT	0	0
0	0	1	0.905287512450741	RANDOM	NONE	0	0
1	180	1	0.728085363276477	COHERENT	LEFT	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.879586465031025	COHERENT	RIGHT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	1.05426635274216	RANDOM	NONE	0	0
1	0	1	0.663061366174588	COHERENT	RIGHT	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	1	0.849591898337167	RANDOM	NONE	0	0
0	0	1	0.819539980077934	RANDOM	NONE	0	0
0	0	1	0.928893114793027	RANDOM	NONE	0	0
0	0	1	0.789954722448783	RANDOM	NONE	0	0
0	0	1	0.814640345316548	RANDOM	NONE	0	0
0	0	1	0.924591445561418	RANDOM	NONE	0	0
0	0	1	0.745362975037096	RANDOM	NONE	0	0
1	180	1	0.649089317516882	COHERENT	LEFT	0	0
0	0	1	0.912914063207609	RANDOM	NONE	0	0
1	0	1	0.974764405807946	COHERENT	RIGHT	0	0
0	0	1	0.769207944700611	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	180	1	0.668107398351822	COHERENT	LEFT	0	0
1	0	1	0.727986356364454	COHERENT	RIGHT	0	0
1	0	1	0.785218992423324	COHERENT	RIGHT	0	0
0	0	1	0.667555012225421	RANDOM	NONE	0	0
1	0	1	0.854347550483908	COHERENT	RIGHT	0	0
0	0	1	0.894138971898428	RANDOM	NONE	0	0
1	180	1	0.804979926952001	COHERENT	LEFT	0	0
1	180	1	0.718747019227521	COHERENT	LEFT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	1	0.75408373328446	COHERENT	LEFT	0	0
1	180	1	0.849852395182097	COHERENT	LEFT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	1	0.694733918922793	COHERENT	LEFT	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
1	180	1	0.738340426815739	COHERENT	LEFT	0	0
0	0	1	0.82410878686369	RANDOM	NONE	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	1	0.657933532554125	RANDOM	NONE	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	1	0.878372121102075	RANDOM	NONE	0	0
1	180	1	0.703256361495733	COHERENT	LEFT	0	0
1	0	1	0.689960759455971	COHERENT	RIGHT	0	0
0	0	1	0.737934739956472	RANDOM	NONE	0	0
0	0	1	0.669579824322682	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	0.874252769477607	RANDOM	NONE	0	0
0	0	1	0.838070874459845	RANDOM	NONE	0	0
1	0	1	0.734540734703842	COHERENT	RIGHT	0	0
0	0	1	0.809582842825876	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	1	0.833890247216004	RANDOM	NONE	0	0
0	0	1	0.967885236499569	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	1	0.699609707507079	RANDOM	NONE	0	0
1	180	1	0.688249569862819	COHERENT	LEFT	0	1
0	0	1	0.763261492951642	RANDOM	NONE	0	1
0	0	1	0.614115125720673	RANDOM	NONE	0	1
0	0	1	0.654844999849047	RANDOM	NONE	0	0
1	180	1	0.703787316248963	COHERENT	LEFT	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	180	1	0.633393401551075	COHERENT	LEFT	0	0
1	180	1	0.704107579462288	COHERENT	LEFT	0	0
0	0	1	0.73800929699064	RANDOM	NONE	0	0
1	180	1	0.719060339883981	COHERENT	LEFT	0	1
1	0	1	0.80080443116276	COHERENT	RIGHT	0	0
0	0	1	0.588938996045727	RANDOM	NONE	0	0
1	180	1	0.584599595520558	COHERENT	LEFT	0	0
0	0	1	0.759528509764095	RANDOM	NONE	0	0
0	0	1	0.699333816293802	RANDOM	NONE	0	0
1	0	1	0.609124030304883	COHERENT	RIGHT	0	1
0	0	1	0.712944550092288	RANDOM	NONE	0	0
0	0	1	0.802627607232353	RANDOM	NONE	0	0
0	0	1	0.934549790214078	RANDOM	NONE	0	0
0	0	1	0.733328201878066	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	1	0.550006640707579	COHERENT	LEFT	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
1	0	1	0.647706842947628	COHERENT	RIGHT	0	0
0	0	1	0.703470977089637	RANDOM	NONE	0	0
0	0	1	0.704250656524891	RANDOM	NONE	0	1
0	0	1	0.628694799118421	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.613470373388736	COHERENT	RIGHT	0	0
1	180	1	0.89457424009197	COHERENT	LEFT	0	0
0	0	1	0.598319599142087	RANDOM	NONE	0	0
0	0	1	0.589130067312908	RANDOM	NONE	0	0
0	0	1	0.662979866582646	RANDOM	NONE	0	0
1	0	1	0.58976033082763	COHERENT	RIGHT	0	0
0	0	1	0.679499230281181	RANDOM	NONE	0	0
0	0	1	0.864301669232191	RANDOM	NONE	0	0
0	0	1	0.743749283104989	RANDOM	NONE	0	0
1	0	1	0.668011711793042	COHERENT	RIGHT	0	0
0	0	1	0.76282501735659	RANDOM	NONE	0	0
0	0	1	0.744615895438983	RANDOM	NONE	0	0
0	0	1	0.938328050951895	RANDOM	NONE	0	0
1	180	1	0.60324489118284	COHERENT	LEFT	0	0
1	180	1	0.529060641733849	COHERENT	LEFT	0	0
1	180	1	0.763996196686094	COHERENT	LEFT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	0.744482477587553	RANDOM	NONE	0	0
1	0	1	0.679300914606756	COHERENT	RIGHT	0	0
1	0	1	0.684223188142823	COHERENT	RIGHT	0	0
0	0	1	0.639869600652673	RANDOM	NONE	0	0
1	0	1	0.67950677654062	COHERENT	RIGHT	0	1
0	0	0	NaN	RANDOM	NONE	1	1
1	180	1	0.583843460412936	COHERENT	LEFT	0	0
0	0	1	0.813965709800868	RANDOM	NONE	0	0
0	0	1	0.78995894835316	RANDOM	NONE	0	0
1	180	1	0.823615261552732	COHERENT	LEFT	0	0
0	0	1	0.874478251683286	RANDOM	NONE	0	0
1	0	1	0.629280992483473	COHERENT	RIGHT	0	0
1	180	1	0.694067735216777	COHERENT	LEFT	0	0
1	180	1	0.569818286093323	COHERENT	LEFT	0	0
0	0	1	0.659762443779982	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	1	0.539270729572308	COHERENT	LEFT	0	0
0	0	1	0.678085665127583	RANDOM	NONE	0	0
1	180	1	0.754963325182871	COHERENT	LEFT	0	0
1	180	1	0.649638986989885	COHERENT	LEFT	0	0
0	0	1	0.828644993812304	RANDOM	NONE	0	0
1	180	1	0.578347067524192	COHERENT	LEFT	0	0
1	180	1	0.644305291436467	COHERENT	LEFT	0	0
0	0	1	1.05985722478817	RANDOM	NONE	0	0
0	0	1	0.719641401793524	RANDOM	NONE	0	0
1	180	1	0.599596426091921	COHERENT	LEFT	0	0
1	0	1	0.638459657701787	COHERENT	RIGHT	0	0
1	0	1	0.733308581605343	COHERENT	RIGHT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	1	1.05473995592911	COHERENT	LEFT	0	0
0	0	1	0.68751697908192	RANDOM	NONE	0	0
1	180	1	0.703470977089637	COHERENT	LEFT	0	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.764923782788173	COHERENT	RIGHT	0	0
0	0	1	0.684615291737828	RANDOM	NONE	0	0
1	180	1	0.613485465905796	COHERENT	LEFT	0	0
1	180	1	0.603239156025666	COHERENT	LEFT	0	0
1	0	1	0.968837876181169	COHERENT	RIGHT	0	0
1	0	1	0.654795798242958	COHERENT	RIGHT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	1	0.614269069395959	COHERENT	LEFT	0	0
1	180	1	0.624048114945253	COHERENT	LEFT	0	0
0	0	1	0.689853602583753	RANDOM	NONE	0	0
1	180	1	0.708540855443971	COHERENT	LEFT	0	0
1	180	1	1.02345407347002	COHERENT	LEFT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	0.903029068187607	RANDOM	NONE	0	0
0	0	1	0.707938362159439	RANDOM	NONE	0	0
1	180	1	0.757765100062898	COHERENT	LEFT	0	0
0	0	1	0.744516284826204	RANDOM	NONE	0	0
0	0	1	0.819316610823989	RANDOM	NONE	0	0
1	0	1	0.714058377855508	COHERENT	RIGHT	0	0
0	0	1	0.68980741948144	RANDOM	NONE	0	0
0	0	1	0.63878022276549	RANDOM	NONE	0	0
0	0	1	0.794500286757284	RANDOM	NONE	0	0
0	0	1	0.639161761598189	RANDOM	NONE	0	0
1	0	1	0.527298137583784	COHERENT	RIGHT	0	0
1	180	1	0.627984243411447	COHERENT	LEFT	0	0
