name	x	y	z	Var5
A1	-25.661957	2.911591	87.164032	
A2	-40.797417	3.92503399999998	81.687958	
A3	-55.412346	4.848312	73.780868	
A4	-67.683128	7.87396199999999	61.751388	
A5	-70.580055	31.115654	49.899643	
A6	-58.451965	50.419907	50.143723	
A7	-65.563911	52.961678	34.687271	
A8	-79.097122	46.439728	20.203522	
A9	-74.700935	50.572125	1.888153	
A10	-73.626587	47.6809080000001	-16.592979	
A11	-68.70446	45.800518	-30.496338	
A12	-65.240921	41.886826	-46.483826	
A13	-77.621506	22.987526	-49.052467	
A14	-85.212906	25.99836	-26.998169	
A15	-86.636429	29.912437	-14.571686	
A16	-89.975502	29.787025	0.216995	
A17	-89.490585	28.329506	17.778748	
A18	-81.390015	31.690197	33.045853	
A19	-80.578018	6.86364700000004	45.537125	
A20	-88.633095	5.20551300000002	30.513367	
A21	-92.517075	5.64535499999995	16.343018	
A22	-94.73719	3.93707300000001	1.306015	
A23	-93.270905	1.56034099999999	-13.121429	
A24	-88.675049	-0.204323000000019	-29.640244	
A25	-82.038498	1.17713199999999	-47.544144	
A26	-78.82399	-23.507866	-48.27829	
A27	-84.637367	-22.184303	-32.687218	
A28	-88.464874	-21.388512	-17.90477	
A29	-89.401527	-26.233673	3.552872	
A30	-86.940544	-25.226738	19.613327	
A31	-80.504112	-26.817291	35.986542	
A32	-73.551773	-22.801788	48.942703	
B1	-31.716774	-14.620834	84.425034	
B2	-48.801235	-22.539925	75.227799	
B3	-58.280102	-50.123215	48.695648	
B4	-63.162613	-54.1354370000001	34.865738	
B5	-72.926697	-49.501503	17.773575	
B6	-74.365418	-48.529381	4.408722	
B7	-71.477516	-49.595947	-13.386574	
B8	-68.314255	-45.882507	-32.206818	
B9	-65.181915	-43.364258	-48.764832	
B10	-52.935146	-61.71199	-27.993996	
B11	-50.988335	-65.629776	-11.516251	
B12	-54.059746	-63.410858	3.369598	
B13	-58.892647	-60.924301	18.442719	
B14	-32.208107	-73.005386	-4.470085	
B15	-32.149315	-72.708557	11.098007	
B16	-32.628761	-70.4328	26.850906	
B17	-39.380939	-64.981415	41.287949	
B18	-37.225323	-58.310638	55.5802	
B19	-45.212692	-47.502007	63.171204	
B20	-29.595505	-31.417809	79.846588	
B21	-23.625679	-50.889404	68.37529	
B22	-20.103928	-62.45372	55.360153	
B23	-15.291718	-69.364975	43.180466	
B24	-13.654007	-71.909256	29.833817	
B25	-10.471802	-73.821045	14.792297	
B26	-8.374855	-74.119614	0.526932	
B27	19.497269	-71.018845	10.953751	
B28	16.047127	-70.233093	22.748947	
B29	10.941917	-66.313751	37.578186	
B30	8.807594	-60.943863	50.530655	
B31	2.43043500000001	-53.814163	61.670105	
B32	-4.370377	-45.185005	72.016983	
C1	-13.946755	-7.85665900000001	89.475739	
C2	-3.891319	-18.6269	86.533508	
C3	23.130264	-42.18145	66.508392	
C4	33.684052	-45.614815	59.153381	
C5	32.885467	-56.434815	43.632233	
C6	40.215622	-60.368958	29.445236	
C7	46.210327	-63.12352	16.010696	
C8	69.077774	-47.778572	22.082413	
C9	62.86441	-45.893295	36.064911	
C10	53.40802	-43.559448	50.687866	
C11	14.368164	-23.968109	81.462265	
C12	36.673691	-21.87809	74.164169	
C13	49.623154	-25.839378	65.87497	
C14	64.14888	-23.924622	57.693848	
C15	75.669998	-26.275917	45.605713	
C16	83.281693	-24.055283	36.05867	
C17	86.671829	-3.113136	36.644714	
C18	79.362732	-3.734825	48.870316	
C19	71.798569	-3.006233	58.567963	
C20	58.534744	-2.877975	68.086456	
C21	40.942062	-1.611328	76.877365	
C22	21.839645	-1.932121	84.561005	
C23	5.217979	2.914383	88.406143	
C24	17.792946	22.091324	81.430267	
C25	37.070648	20.522613	75.349045	
C26	52.051117	23.606586	64.995987	
C27	67.467575	20.336506	54.740219	
C28	77.391861	22.145054	44.781906	
C29	84.919037	20.742336	32.262726	
C30	69.482574	45.43993	19.753998	
C31	62.68045	41.932583	37.402893	
C32	54.307282	39.054375	51.532059	
D1	-13.727867	10.605911	88.623993	
D2	-4.18042000000001	22.861477	85.058701	
D3	24.010544	39.003388	69.500458	
D4	34.014465	44.074108	59.028427	
D5	34.121643	54.428123	42.03891	
D6	39.477051	57.353096	29.001282	
D7	47.976334	59.544373	14.056183	
D8	20.746513	69.956779	6.563858	
D9	15.319679	68.709976	23.871094	
D10	7.936523	65.308243	39.27211	
D11	6.480843	59.08963	53.746582	
D12	1.447647	51.736366	65.625794	
D13	-0.241554000000006	41.330669	74.694809	
D14	-25.89669	32.885551	79.707001	
D15	-31.947906	18.898724	83.142197	
D16	-49.15395	26.41412	74.681519	
D17	-44.925125	46.208939	66.401184	
D18	-22.747719	47.980461	71.210144	
D19	-21.427322	59.612877	60.958145	
D20	-19.620056	66.766602	47.470215	
D21	-14.220779	72.591949	34.018448	
D22	-11.815918	73.757919	18.363983	
D23	-7.91735800000002	73.888184	1.639603	
D24	-34.91058	70.744545	-2.752136	
D25	-38.010246	71.482147	14.080368	
D26	-40.972569	68.558243	27.837921	
D27	-46.440487	61.595356	43.63681	
D28	-45.017643	54.518364	56.717667	
D29	-62.239784	59.922348	23.346741	
D30	-63.134171	61.934761	8.968552	
D31	-56.206772	63.124325	-8.226532	
D32	-56.481857	61.072647	-25.009056	
