index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal                            , cortical  ,     6983.0 
2   , ctx-rh-parsorbitalis                                   , cortical  ,     2593.0 
3   , ctx-rh-frontalpole                                     , cortical  ,      886.0 
4   , ctx-rh-medialorbitofrontal                             , cortical  ,     5355.0 
5   , ctx-rh-parstriangularis                                , cortical  ,     4587.0 
6   , ctx-rh-parsopercularis                                 , cortical  ,     4173.0 
7   , ctx-rh-rostralmiddlefrontal                            , cortical  ,    14114.0 
8   , ctx-rh-superiorfrontal                                 , cortical  ,    21934.0 
9   , ctx-rh-caudalmiddlefrontal                             , cortical  ,     4150.0 
10  , ctx-rh-precentral                                      , cortical  ,    10695.0 
11  , ctx-rh-paracentral                                     , cortical  ,     3601.0 
12  , ctx-rh-rostralanteriorcingulate                        , cortical  ,     2314.0 
13  , ctx-rh-caudalanteriorcingulate                         , cortical  ,     2636.0 
14  , ctx-rh-posteriorcingulate                              , cortical  ,     2877.0 
15  , ctx-rh-isthmuscingulate                                , cortical  ,     2309.0 
16  , ctx-rh-postcentral                                     , cortical  ,     7045.0 
17  , ctx-rh-supramarginal                                   , cortical  ,     7685.0 
18  , ctx-rh-superiorparietal                                , cortical  ,    11566.0 
19  , ctx-rh-inferiorparietal                                , cortical  ,    16688.0 
20  , ctx-rh-precuneus                                       , cortical  ,     8170.0 
21  , ctx-rh-cuneus                                          , cortical  ,     2277.0 
22  , ctx-rh-pericalcarine                                   , cortical  ,     1510.0 
23  , ctx-rh-lateraloccipital                                , cortical  ,    11184.0 
24  , ctx-rh-lingual                                         , cortical  ,     4598.0 
25  , ctx-rh-fusiform                                        , cortical  ,     8674.0 
26  , ctx-rh-parahippocampal                                 , cortical  ,     2119.0 
27  , ctx-rh-entorhinal                                      , cortical  ,     2188.0 
28  , ctx-rh-temporalpole                                    , cortical  ,     2915.0 
29  , ctx-rh-inferiortemporal                                , cortical  ,     9622.0 
30  , ctx-rh-middletemporal                                  , cortical  ,    11259.0 
31  , ctx-rh-bankssts                                        , cortical  ,     2710.0 
32  , ctx-rh-superiortemporal                                , cortical  ,    10629.0 
33  , ctx-rh-transversetemporal                              , cortical  ,      737.0 
34  , ctx-rh-insula                                          , cortical  ,     5753.0 
35  , Right-Thalamus_Proper                                  , subcortical,     7205.0 
36  , Right-Caudate                                          , subcortical,     3832.0 
37  , Right-Putamen                                          , subcortical,     4514.0 
38  , Right-Pallidum                                         , subcortical,     1963.0 
39  , Right-Accumbens_area                                   , subcortical,      464.0 
40  , Right-Hippocampus                                      , subcortical,     3722.0 
41  , Right-Amygdala                                         , subcortical,     1562.0 
42  , ctx-lh-lateralorbitofrontal                            , cortical  ,     7671.0 
43  , ctx-lh-parsorbitalis                                   , cortical  ,     2058.0 
44  , ctx-lh-frontalpole                                     , cortical  ,      781.0 
45  , ctx-lh-medialorbitofrontal                             , cortical  ,     4796.0 
46  , ctx-lh-parstriangularis                                , cortical  ,     3048.0 
47  , ctx-lh-parsopercularis                                 , cortical  ,     4340.0 
48  , ctx-lh-rostralmiddlefrontal                            , cortical  ,    13949.0 
49  , ctx-lh-superiorfrontal                                 , cortical  ,    26764.0 
50  , ctx-lh-caudalmiddlefrontal                             , cortical  ,     4979.0 
51  , ctx-lh-precentral                                      , cortical  ,    11072.0 
52  , ctx-lh-paracentral                                     , cortical  ,     3068.0 
53  , ctx-lh-rostralanteriorcingulate                        , cortical  ,     2483.0 
54  , ctx-lh-caudalanteriorcingulate                         , cortical  ,     1376.0 
55  , ctx-lh-posteriorcingulate                              , cortical  ,     2773.0 
56  , ctx-lh-isthmuscingulate                                , cortical  ,     2313.0 
57  , ctx-lh-postcentral                                     , cortical  ,     8408.0 
58  , ctx-lh-supramarginal                                   , cortical  ,    10160.0 
59  , ctx-lh-superiorparietal                                , cortical  ,    10696.0 
60  , ctx-lh-inferiorparietal                                , cortical  ,    13076.0 
61  , ctx-lh-precuneus                                       , cortical  ,     7893.0 
62  , ctx-lh-cuneus                                          , cortical  ,     2468.0 
63  , ctx-lh-pericalcarine                                   , cortical  ,     1780.0 
64  , ctx-lh-lateraloccipital                                , cortical  ,    11351.0 
65  , ctx-lh-lingual                                         , cortical  ,     5374.0 
66  , ctx-lh-fusiform                                        , cortical  ,     8202.0 
67  , ctx-lh-parahippocampal                                 , cortical  ,     2218.0 
68  , ctx-lh-entorhinal                                      , cortical  ,     2590.0 
69  , ctx-lh-temporalpole                                    , cortical  ,     3457.0 
70  , ctx-lh-inferiortemporal                                , cortical  ,     9663.0 
71  , ctx-lh-middletemporal                                  , cortical  ,    10607.0 
72  , ctx-lh-bankssts                                        , cortical  ,     2485.0 
73  , ctx-lh-superiortemporal                                , cortical  ,    11023.0 
74  , ctx-lh-transversetemporal                              , cortical  ,      816.0 
75  , ctx-lh-insula                                          , cortical  ,     5796.0 
76  , Left-Thalamus_Proper                                   , subcortical,     7546.0 
77  , Left-Caudate                                           , subcortical,     3786.0 
78  , Left-Putamen                                           , subcortical,     4490.0 
79  , Left-Pallidum                                          , subcortical,     1843.0 
80  , Left-Accumbens_area                                    , subcortical,      330.0 
81  , Left-Hippocampus                                       , subcortical,     3738.0 
82  , Left-Amygdala                                          , subcortical,     1462.0 
83  , brainstem                                              , subcortical,    18897.0 
