index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     1891.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,     2379.0 
3   , ctx-rh-lateralorbitofrontal_3                          , cortical  ,     1633.0 
4   , ctx-rh-lateralorbitofrontal_4                          , cortical  ,     1080.0 
5   , ctx-rh-parsorbitalis_1                                 , cortical  ,     2593.0 
6   , ctx-rh-frontalpole_1                                   , cortical  ,      886.0 
7   , ctx-rh-medialorbitofrontal_1                           , cortical  ,     2703.0 
8   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     1656.0 
9   , ctx-rh-medialorbitofrontal_3                           , cortical  ,      996.0 
10  , ctx-rh-parstriangularis_1                              , cortical  ,      925.0 
11  , ctx-rh-parstriangularis_2                              , cortical  ,     3662.0 
12  , ctx-rh-parsopercularis_1                               , cortical  ,     1754.0 
13  , ctx-rh-parsopercularis_2                               , cortical  ,     2419.0 
14  , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     2412.0 
15  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     2397.0 
16  , ctx-rh-rostralmiddlefrontal_3                          , cortical  ,     3023.0 
17  , ctx-rh-rostralmiddlefrontal_4                          , cortical  ,     1991.0 
18  , ctx-rh-rostralmiddlefrontal_5                          , cortical  ,     1913.0 
19  , ctx-rh-rostralmiddlefrontal_6                          , cortical  ,     2378.0 
20  , ctx-rh-superiorfrontal_1                               , cortical  ,     3241.0 
21  , ctx-rh-superiorfrontal_2                               , cortical  ,     3558.0 
22  , ctx-rh-superiorfrontal_3                               , cortical  ,     3533.0 
23  , ctx-rh-superiorfrontal_4                               , cortical  ,     2909.0 
24  , ctx-rh-superiorfrontal_5                               , cortical  ,     3328.0 
25  , ctx-rh-superiorfrontal_6                               , cortical  ,     1846.0 
26  , ctx-rh-superiorfrontal_7                               , cortical  ,     1455.0 
27  , ctx-rh-superiorfrontal_8                               , cortical  ,     2064.0 
28  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     1173.0 
29  , ctx-rh-caudalmiddlefrontal_2                           , cortical  ,      532.0 
30  , ctx-rh-caudalmiddlefrontal_3                           , cortical  ,     2445.0 
31  , ctx-rh-precentral_1                                    , cortical  ,     1562.0 
32  , ctx-rh-precentral_2                                    , cortical  ,     1400.0 
33  , ctx-rh-precentral_3                                    , cortical  ,     1651.0 
34  , ctx-rh-precentral_4                                    , cortical  ,     2586.0 
35  , ctx-rh-precentral_5                                    , cortical  ,     1523.0 
36  , ctx-rh-precentral_6                                    , cortical  ,     1973.0 
37  , ctx-rh-paracentral_1                                   , cortical  ,      997.0 
