COND	ACC	RT	nameCOND	outliers	bad_trials
1	1	0.591161433377692	FACES	0	0
0	1	0.51737208862869	SCRAMBLED	0	0
0	1	0.700277214501057	SCRAMBLED	0	0
1	1	0.771026677669852	FACES	0	0
1	1	0.875804945308573	FACES	0	0
1	1	0.944953422289018	FACES	0	0
1	1	0.897305066952413	FACES	0	0
1	1	0.870097658950272	FACES	0	0
0	1	0.82001673429022	SCRAMBLED	0	0
0	1	1.01541522711705	SCRAMBLED	0	0
0	1	0.935051395158098	SCRAMBLED	0	0
0	1	0.869295656630584	SCRAMBLED	0	0
0	1	0.786147605855604	SCRAMBLED	0	0
0	1	0.876961313726042	SCRAMBLED	0	0
1	1	0.895355751566967	FACES	0	0
1	1	0.865489390448147	FACES	0	0
0	1	1.01189661927492	SCRAMBLED	0	1
1	1	0.908632708292771	FACES	0	1
1	1	0.83678452911272	FACES	0	0
1	1	0.90456293137413	FACES	0	0
1	1	0.72437169441946	FACES	0	0
1	1	0.960116910627676	FACES	0	0
0	1	0.716838849149553	SCRAMBLED	0	0
1	1	0.882788432573307	FACES	0	0
0	1	0.687541465964841	SCRAMBLED	0	0
0	1	0.83132264278629	SCRAMBLED	0	0
1	1	0.758061225044457	FACES	0	0
0	1	0.757820352687759	SCRAMBLED	0	0
0	1	0.814643892255845	SCRAMBLED	0	0
1	1	0.69237974040152	FACES	0	0
1	1	0.920245291367792	FACES	0	0
1	1	0.851026484489012	FACES	0	0
1	0	NaN	FACES	1	0
0	1	0.901311758253541	SCRAMBLED	0	0
1	1	0.966309563839786	FACES	0	0
1	0	NaN	FACES	1	0
0	1	0.878607878518324	SCRAMBLED	0	0
0	1	1.12935419042424	SCRAMBLED	0	0
0	1	0.813244840411699	SCRAMBLED	0	0
0	1	0.665264998831844	SCRAMBLED	0	0
0	1	0.868037566428484	SCRAMBLED	0	0
0	1	0.775433011828227	SCRAMBLED	0	0
0	1	0.741549998520895	SCRAMBLED	0	0
1	1	0.84129228321035	FACES	0	0
0	1	0.672089715595575	SCRAMBLED	0	0
0	1	0.682980888982001	SCRAMBLED	0	1
1	1	0.684726458953264	FACES	0	0
0	1	0.73762359800503	SCRAMBLED	0	0
0	1	0.703321925602268	SCRAMBLED	0	0
0	1	0.676070448222163	SCRAMBLED	0	0
0	1	0.667855131275246	SCRAMBLED	0	0
0	1	0.59977578949065	SCRAMBLED	0	0
0	1	0.621540931095296	SCRAMBLED	0	0
1	1	0.516323177052072	FACES	0	0
1	1	0.714089040669933	FACES	0	0
0	1	0.670380970721453	SCRAMBLED	0	0
1	1	0.798778916001993	FACES	0	0
0	1	0.722300433630608	SCRAMBLED	0	0
0	1	0.771345124206618	SCRAMBLED	0	0
1	1	0.722109063863627	FACES	0	0
1	1	0.736996062129492	FACES	0	0
1	1	0.656774701037648	FACES	0	0
0	1	0.67955706048815	SCRAMBLED	0	0
