name	x	y	z	Var5
A1	-21.747307	2.450249	84.331497	
A2	-39.978645	4.594086	79.921173	
A3	-52.156284	5.28148599999999	76.181397	
A4	-66.389641	3.13176000000003	64.757034	
A5	-72.195602	28.535873	52.666351	
A6	-56.655022	49.297695	49.948776	
A7	-66.023712	52.453804	35.068863	
A8	-77.526932	46.765308	20.267929	
A9	-80.236809	48.627682	1.816223	
A10	-76.479042	50.366753	-16.631027	
A11	-77.376946	45.066353	-35.52108	
A12	-74.186638	42.147072	-51.558258	
A13	-86.582794	21.7081069999999	-47.167259	
A14	-93.294456	24.434994	-26.01329	
A15	-95.275871	26.502274	-7.49556	
A16	-93.028503	27.929771	9.400284	
A17	-91.231339	26.010662	22.627106	
A18	-80.083946	30.320236	38.906418	
A19	-76.191246	1.56656700000001	54.20433	
A20	-87.202255	1.02321599999998	37.137665	
A21	-93.201416	2.59391800000001	23.81012	
A22	-98.698166	3.17540000000001	12.061005	
A23	-100.304077	0.750266999999983	-10.424225	
A24	-97.248398	-1.619873	-27.06192	
A25	-89.976463	-2.94426699999999	-44.407181	
A26	-88.021111	-23.631729	-42.746353	
A27	-93.822082	-21.845902	-26.493996	
A28	-97.011528	-21.642761	-9.040985	
A29	-95.521744	-20.765533	7.789825	
A30	-91.529938	-19.5507889999999	23.00563	
A31	-81.981697	-23.390663	39.187149	
A32	-73.60453	-21.308197	53.372467	
B1	-31.160629	-12.305359	82.430206	
B2	-47.972637	-18.783829	75.811035	
B3	-58.171715	-44.311844	54.798508	
B4	-63.523575	-50.28009	38.706665	
B5	-79.27021	-43.429336	19.597	
B6	-81.998535	-44.877594	4.336731	
B7	-81.162826	-45.734772	-9.89653	
B8	-78.757606	-45.136704	-27.648361	
B9	-76.463959	-41.711883	-46.749062	
B10	-60.096508	-59.718002	-25.824806	
B11	-60.997772	-61.372025	-10.185471	
B12	-57.827488	-62.256882	7.69725	
B13	-60.685703	-59.41275	23.421707	
B14	-35.005028	-72.299255	-5.353012	
B15	-35.748512	-71.035995	8.708374	
B16	-35.708977	-69.40657	25.971222	
B17	-41.920387	-62.280579	41.343063	
B18	-40.497173	-53.46167	55.54631	
B19	-42.924087	-46.081223	63.01532	
B20	-25.224617	-28.186974	78.026718	
B21	-21.27713	-49.024658	65.763168	
B22	-20.372284	-57.916122	56.602814	
B23	-15.599747	-67.485062	43.559891	
B24	-14.399315	-72.250717	31.452499	
B25	-10.373299	-77.260895	11.980102	
B26	-10.519836	-79.130325	-2.165848	
B27	19.093918	-75.215774	4.06749	
B28	16.114189	-72.335815	19.269531	
B29	12.184876	-67.819656	36.683792	
B30	9.984337	-60.835663	47.095093	
B31	4.274544	-52.07962	59.056519	
B32	-1.401711	-43.709503	67.898788	
C1	-12.516563	-7.10416400000001	85.048843	
C2	-1.842705	-19.800125	81.507904	
C3	25.628082	-42.999298	63.420441	
C4	35.754303	-48.385162	53.967117	
C5	34.932922	-59.435333	39.195099	
C6	40.510803	-62.888031	24.003479	
C7	46.905426	-64.489777	10.061539	
C8	71.054398	-49.158188	17.418808	
C9	64.762146	-47.23262	32.022186	
C10	52.335983	-45.878937	44.792038	
C11	19.567223	-20.54734	76.102646	
C12	40.635315	-21.393639	69.4608	
C13	54.512909	-25.329788	60.096481	
C14	69.917908	-25.490273	48.17952	
C15	81.801697	-27.740745	34.910553	
C16	91.213089	-27.684227	23.63031	
C17	94.05011	-1.590469	30.123962	
C18	84.878189	-5.04554	40.818405	
C19	71.702499	-2.187431	53.416184	
C20	58.835373	-2.057777	63.695572	
C21	44.515442	-2.975082	72.251419	
C22	27.560593	-0.13298	77.959137	
C23	6.57162499999999	2.339996	84.222305	
C24	21.847771	22.446747	75.480698	
C25	40.37236	20.789238	70.868179	
C26	56.913025	20.87336	60.453415	
C27	69.780701	21.470245	49.546082	
C28	84.030228	23.089085	37.051605	
C29	91.633514	22.876953	27.112457	
C30	78.806885	47.650341	17.90213	
C31	70.273666	44.574806	33.319992	
C32	57.711762	41.801174	44.798843	
D1	-7.93802599999999	10.842659	83.71376	
D2	-2.93860600000001	21.742485	81.246185	
D3	29.613312	39.214081	64.441132	
D4	40.006287	47.210377	53.69397	
D5	38.988083	57.728809	40.317108	
D6	46.673553	60.801712	26.11673	
D7	54.520264	62.717209	8.982742	
D8	25.208771	74.223434	2.656601	
D9	18.726334	71.425919	21.006149	
D10	13.488785	68.421005	34.095596	
D11	11.409439	60.214458	49.499313	
D12	5.667473	51.029255	61.261429	
D13	4.056503	42.041851	68.704498	
D14	-24.846435	31.360092	76.940842	
D15	-28.499634	19.61203	80.636307	
D16	-43.893558	26.934933	75.571945	
D17	-44.372852	47.739365	62.862763	
D18	-18.616463	45.84975	68.654694	
D19	-16.254898	58.831596	57.497147	
D20	-14.400291	65.527115	46.695724	
D21	-9.63882500000003	72.803833	33.668915	
D22	-6.50088500000003	76.112869	18.400162	
D23	-3.00890400000001	79.629143	-0.061432	
D24	-32.452614	75.051247	-3.45787	
D25	-34.071854	73.984352	12.763214	
D26	-37.547287	69.860588	28.63858	
D27	-41.238503	64.18753	41.174179	
D28	-41.556507	54.733173	56.1008	
D29	-57.482235	61.193077	27.344025	
D30	-58.577747	63.579567	13.519241	
D31	-56.536182	64.419907	-10.047241	
D32	-55.269444	64.076263	-24.895485	
