index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     4004.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,     3180.0 
3   , ctx-rh-parsorbitalis_1                                 , cortical  ,     2520.0 
4   , ctx-rh-frontalpole_1                                   , cortical  ,      826.0 
5   , ctx-rh-medialorbitofrontal_1                           , cortical  ,     2593.0 
6   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     2315.0 
7   , ctx-rh-parstriangularis_1                              , cortical  ,     3844.0 
8   , ctx-rh-parsopercularis_1                               , cortical  ,     3620.0 
9   , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     8933.0 
10  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     7348.0 
11  , ctx-rh-superiorfrontal_1                               , cortical  ,     6200.0 
12  , ctx-rh-superiorfrontal_2                               , cortical  ,     7136.0 
13  , ctx-rh-superiorfrontal_3                               , cortical  ,     5146.0 
14  , ctx-rh-superiorfrontal_4                               , cortical  ,     2862.0 
15  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     5490.0 
16  , ctx-rh-precentral_1                                    , cortical  ,     3051.0 
17  , ctx-rh-precentral_2                                    , cortical  ,     3408.0 
18  , ctx-rh-precentral_3                                    , cortical  ,     4931.0 
19  , ctx-rh-paracentral_1                                   , cortical  ,     3204.0 
20  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     1668.0 
21  , ctx-rh-caudalanteriorcingulate_1                       , cortical  ,     2069.0 
22  , ctx-rh-posteriorcingulate_1                            , cortical  ,     2876.0 
23  , ctx-rh-isthmuscingulate_1                              , cortical  ,     2102.0 
24  , ctx-rh-postcentral_1                                   , cortical  ,     2597.0 
25  , ctx-rh-postcentral_2                                   , cortical  ,     4750.0 
26  , ctx-rh-supramarginal_1                                 , cortical  ,     3587.0 
27  , ctx-rh-supramarginal_2                                 , cortical  ,     3618.0 
28  , ctx-rh-superiorparietal_1                              , cortical  ,     4284.0 
29  , ctx-rh-superiorparietal_2                              , cortical  ,     4303.0 
30  , ctx-rh-superiorparietal_3                              , cortical  ,     3744.0 
31  , ctx-rh-inferiorparietal_1                              , cortical  ,     6321.0 
32  , ctx-rh-inferiorparietal_2                              , cortical  ,     4042.0 
33  , ctx-rh-inferiorparietal_3                              , cortical  ,     4206.0 
34  , ctx-rh-precuneus_1                                     , cortical  ,     4956.0 
35  , ctx-rh-precuneus_2                                     , cortical  ,     4920.0 
36  , ctx-rh-cuneus_1                                        , cortical  ,     2613.0 
37  , ctx-rh-pericalcarine_1                                 , cortical  ,     1789.0 
38  , ctx-rh-lateraloccipital_1                              , cortical  ,     3367.0 
39  , ctx-rh-lateraloccipital_2                              , cortical  ,     4264.0 
40  , ctx-rh-lateraloccipital_3                              , cortical  ,     2594.0 
41  , ctx-rh-lingual_1                                       , cortical  ,     3358.0 
42  , ctx-rh-lingual_2                                       , cortical  ,     2173.0 
43  , ctx-rh-fusiform_1                                      , cortical  ,     5030.0 
44  , ctx-rh-fusiform_2                                      , cortical  ,     5708.0 
45  , ctx-rh-parahippocampal_1                               , cortical  ,     2174.0 
46  , ctx-rh-entorhinal_1                                    , cortical  ,     2527.0 
47  , ctx-rh-temporalpole_1                                  , cortical  ,     2398.0 
48  , ctx-rh-inferiortemporal_1                              , cortical  ,     3926.0 
49  , ctx-rh-inferiortemporal_2                              , cortical  ,     5341.0 
50  , ctx-rh-middletemporal_1                                , cortical  ,     4674.0 
51  , ctx-rh-middletemporal_2                                , cortical  ,     5009.0 
52  , ctx-rh-bankssts_1                                      , cortical  ,     2802.0 
53  , ctx-rh-superiortemporal_1                              , cortical  ,     5437.0 
54  , ctx-rh-superiortemporal_2                              , cortical  ,     4828.0 
55  , ctx-rh-transversetemporal_1                            , cortical  ,      785.0 
56  , ctx-rh-insula_1                                        , cortical  ,     2565.0 
57  , ctx-rh-insula_2                                        , cortical  ,     2760.0 
58  , Right-Thalamus_Proper                                  , subcortical,     8069.0 
59  , Right-Caudate                                          , subcortical,     3967.0 
60  , Right-Putamen                                          , subcortical,     5163.0 
61  , Right-Pallidum                                         , subcortical,     2160.0 
62  , Right-Accumbens_area                                   , subcortical,      584.0 
