name	x	y	z	Var5
A1	-11.077934	6.46379100000001	85.996796	
A2	-28.441048	6.48233	83.776871	
A3	-44.181709	4.88620799999997	80.079285	
A4	-56.206295	6.116959	72.229691	
A5	-64.769547	28.23803	58.432282	
A6	-51.574814	47.261856	56.710358	
A7	-64.204582	49.508381	44.860184	
A8	-78.427078	40.619026	32.966522	
A9	-84.602593	43.631256	17.13031	
A10	-88.489853	45.498566	-0.461777	
A11	-89.548233	44.167877	-19.136002	
A12	-87.559372	43.547703	-37.09034	
A13	-97.962357	23.930611	-32.882256	
A14	-101.889732	22.83635	-15.585503	
A15	-99.475098	25.987053	-0.201019	
A16	-94.714615	24.440239	18.54039	
A17	-87.258606	20.564404	34.959183	
A18	-77.177406	24.506424	47.328827	
A19	-69.436348	1.6008	62.220444	
A20	-78.532364	-2.23966200000001	50.954819	
A21	-88.70929	-0.755486000000004	37.328583	
A22	-97.224319	-2.140671	19.277268	
A23	-101.985855	-3.632729	3.233246	
A24	-104.28698	-2.34109499999999	-18.574944	
A25	-98.797112	-4.38270600000005	-34.093437	
A26	-96.871445	-27.264	-32.711334	
A27	-100.59771	-26.9741899999999	-14.008438	
A28	-98.586647	-28.965134	1.037064	
A29	-92.896599	-28.593079	19.587631	
A30	-84.572296	-26.736671	36.891632	
A31	-73.709671	-24.986114	53.179657	
A32	-63.46093	-20.712906	64.639542	
B1	-15.438217	-7.826271	85.635742	
B2	-33.694023	-16.455277	81.574493	
B3	-49.725792	-43.608666	62.16066	
B4	-59.576992	-53.958145	46.653686	
B5	-72.688637	-50.684509	32.600662	
B6	-79.989922	-50.006012	18.834976	
B7	-81.395149	-52.286468	2.072647	
B8	-83.36721	-50.319946	-18.958168	
B9	-80.69809	-48.949417	-36.380096	
B10	-61.611839	-64.919296	-18.063843	
B11	-59.619026	-66.242981	1.029495	
B12	-57.311028	-65.455261	19.899551	
B13	-59.165031	-62.214386	33.58905	
B14	-33.353149	-72.405655	-1.806397	
B15	-31.458565	-72.633392	18.072525	
B16	-31.226784	-69.936218	34.24324	
B17	-35.444702	-63.665527	49.436081	
B18	-33.97403	-56.778549	60.287277	
B19	-33.314606	-44.500244	70.263428	
B20	-13.702362	-22.734116	82.492233	
B21	-11.775642	-46.80986	70.769241	
B22	-8.13061499999999	-56.718491	61.369568	
B23	-4.71204400000001	-64.785934	50.956375	
B24	-7.52288100000001	-70.401962	34.457275	
B25	-5.43425800000001	-74.246368	17.572906	
B26	-4.14368400000003	-74.003525	3.408875	
B27	22.609528	-71.794586	2.433945	
B28	24.650971	-70.226822	19.137863	
B29	22.216995	-65.310288	34.945038	
B30	22.485947	-58.89653	49.300812	
B31	17.648636	-50.586609	60.291138	
B32	12.725327	-42.197197	69.597412	
C1	0.501952999999996	-0.454513999999996	85.569595	
C2	10.507874	-12.063355	81.156128	
C3	36.482239	-38.933266	62.373886	
C4	49.762344	-42.738716	53.044281	
C5	46.099533	-53.756515	40.611618	
C6	49.891495	-57.084854	24.29744	
C7	51.686829	-59.046921	5.753098	
C8	77.277649	-43.738182	13.32579	
C9	73.455353	-43.224335	27.395294	
C10	65.671448	-38.972984	42.866501	
C11	34.618347	-15.153763	73.663193	
C12	51.636261	-14.721512	65.798019	
C13	65.453766	-16.310959	56.85878	
C14	77.9832	-15.850113	44.652283	
C15	87.361084	-17.999947	30.930588	
C16	94.906784	-16.696213	17.303528	
C17	95.591568	7.58989	19.057877	
C18	89.732834	7.940201	30.343262	
C19	80.127136	6.387581	45.121216	
C20	68.68541	4.138908	55.908707	
C21	55.128326	1.72377	65.532959	
C22	39.367844	4.459488	73.591187	
C23	19.750473	2.592064	79.896347	
C24	29.693253	26.701496	69.998184	
C25	48.826096	27.257515	61.099335	
C26	61.171982	30.343975	50.57428	
C27	74.088348	28.54789	40.037857	
C28	82.344055	29.376427	29.935303	
C29	88.051361	28.324635	16.731842	
C30	69.520615	48.69183	4.331467	
C31	66.219589	46.09634	23.530502	
C32	59.924179	44.691517	36.405533	
D1	3.666061	13.229752	82.574799	
D2	9.572647	25.745842	77.259628	
D3	33.778824	45.525852	57.203552	
D4	43.318344	50.110207	45.624954	
D5	37.558792	57.875191	34.701996	
D6	42.061752	61.54953	17.145248	
D7	46.018463	62.475742	-0.947128	
D8	16.007675	72.349861	-2.865921	
D9	14.814079	71.105377	16.207321	
D10	9.51506800000002	68.647232	32.841675	
D11	10.73513	62.95607	47.273682	
D12	10.016838	56.656857	57.053452	
D13	10.426209	45.300095	67.240967	
D14	-13.092888	36.907871	75.853195	
D15	-19.11676	21.623623	82.117188	
D16	-34.498711	27.251942	77.487885	
D17	-33.023987	46.585075	67.750488	
D18	-11.933006	48.173397	68.356278	
D19	-12.457436	60.403984	56.966904	
D20	-14.347328	66.991112	46.987991	
D21	-12.505653	71.558624	29.922562	
D22	-10.837639	74.002678	15.036941	
D23	-12.26577	75.1017	-4.139465	
D24	-41.038193	70.9953	-3.511307	
D25	-40.472153	71.381653	13.828644	
D26	-40.175781	69.805954	29.481552	
D27	-41.213661	63.81308	44.615143	
D28	-35.758758	55.710266	56.852722	
D29	-60.215446	59.350193	33.13797	
D30	-64.151154	62.4117850000001	15.880737	
D31	-66.196426	62.294666	-3.697769	
D32	-68.092895	60.382278	-22.575699	
