index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     2062.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,     1975.0 
3   , ctx-rh-lateralorbitofrontal_3                          , cortical  ,     2009.0 
4   , ctx-rh-lateralorbitofrontal_4                          , cortical  ,     1360.0 
5   , ctx-rh-parsorbitalis_1                                 , cortical  ,     2196.0 
6   , ctx-rh-frontalpole_1                                   , cortical  ,      927.0 
7   , ctx-rh-medialorbitofrontal_1                           , cortical  ,     2934.0 
8   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     1840.0 
9   , ctx-rh-medialorbitofrontal_3                           , cortical  ,      984.0 
10  , ctx-rh-parstriangularis_1                              , cortical  ,      997.0 
11  , ctx-rh-parstriangularis_2                              , cortical  ,     2790.0 
12  , ctx-rh-parsopercularis_1                               , cortical  ,     1355.0 
13  , ctx-rh-parsopercularis_2                               , cortical  ,     1942.0 
14  , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     3193.0 
15  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     2024.0 
16  , ctx-rh-rostralmiddlefrontal_3                          , cortical  ,     3879.0 
17  , ctx-rh-rostralmiddlefrontal_4                          , cortical  ,     2315.0 
18  , ctx-rh-rostralmiddlefrontal_5                          , cortical  ,     2177.0 
19  , ctx-rh-rostralmiddlefrontal_6                          , cortical  ,     2251.0 
20  , ctx-rh-superiorfrontal_1                               , cortical  ,     2358.0 
21  , ctx-rh-superiorfrontal_2                               , cortical  ,     2893.0 
22  , ctx-rh-superiorfrontal_3                               , cortical  ,     3671.0 
23  , ctx-rh-superiorfrontal_4                               , cortical  ,     3221.0 
24  , ctx-rh-superiorfrontal_5                               , cortical  ,     3724.0 
25  , ctx-rh-superiorfrontal_6                               , cortical  ,     2362.0 
26  , ctx-rh-superiorfrontal_7                               , cortical  ,     1881.0 
27  , ctx-rh-superiorfrontal_8                               , cortical  ,     2151.0 
28  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     1672.0 
29  , ctx-rh-caudalmiddlefrontal_2                           , cortical  ,     1160.0 
30  , ctx-rh-caudalmiddlefrontal_3                           , cortical  ,     2823.0 
31  , ctx-rh-precentral_1                                    , cortical  ,     1599.0 
32  , ctx-rh-precentral_2                                    , cortical  ,     1944.0 
33  , ctx-rh-precentral_3                                    , cortical  ,     1788.0 
34  , ctx-rh-precentral_4                                    , cortical  ,     2816.0 
35  , ctx-rh-precentral_5                                    , cortical  ,     2292.0 
36  , ctx-rh-precentral_6                                    , cortical  ,     2799.0 
37  , ctx-rh-paracentral_1                                   , cortical  ,     1277.0 
38  , ctx-rh-paracentral_2                                   , cortical  ,     2011.0 
39  , ctx-rh-paracentral_3                                   , cortical  ,     1116.0 
