COND	ACC	RT	nameCOND	outliers	bad_trials
1	1	0.450424513608141	FACES	0	0
0	1	0.4742481665985	SCRAMBLED	0	0
0	1	0.489242274601111	SCRAMBLED	0	1
1	1	0.413879035354057	FACES	0	1
0	0	NaN	SCRAMBLED	1	0
1	1	0.44432001757923	FACES	0	0
0	1	0.533379434995823	SCRAMBLED	0	0
1	1	0.308239922631401	FACES	0	0
0	1	0.393032773029972	SCRAMBLED	0	0
1	1	0.367894286935552	FACES	0	0
0	1	0.494776888880551	SCRAMBLED	0	0
0	1	0.500275281861832	SCRAMBLED	0	0
1	1	0.349453118774363	FACES	0	0
1	0	NaN	FACES	1	0
0	1	0.440814097812108	SCRAMBLED	0	0
0	1	0.375960166231835	SCRAMBLED	0	0
1	1	0.290921614697254	FACES	0	0
1	1	0.316756757083112	FACES	0	0
1	1	0.330487043641824	FACES	0	0
0	1	0.402390847119477	SCRAMBLED	0	0
0	1	0.350080049067856	SCRAMBLED	0	0
0	0	NaN	SCRAMBLED	1	0
1	1	0.444957210573648	FACES	0	0
1	1	0.37656898587602	FACES	0	0
0	0	NaN	SCRAMBLED	1	0
1	1	0.401492558938116	FACES	0	0
1	1	0.484267883058237	FACES	0	0
1	1	0.378162119283843	FACES	0	0
0	1	0.466202510860057	SCRAMBLED	0	0
1	1	0.44786608261802	FACES	0	0
0	1	0.382506260247737	SCRAMBLED	0	0
0	1	0.372501334150911	SCRAMBLED	0	0
1	1	0.360439642036908	FACES	0	0
0	1	0.330213572844968	SCRAMBLED	0	0
0	1	0.417106352974315	SCRAMBLED	0	0
1	1	0.380398784413501	FACES	0	0
0	1	0.398727968396088	SCRAMBLED	0	0
0	1	0.421518710715191	SCRAMBLED	0	0
1	1	0.448435964367945	FACES	0	0
1	1	0.335197925244302	FACES	0	0
1	1	0.306185873210779	FACES	0	0
0	1	0.404981877277351	SCRAMBLED	0	0
1	1	0.426946170322481	FACES	0	0
1	1	0.347676765969481	FACES	0	0
1	1	0.283487495200461	FACES	0	0
0	1	0.443086682395005	SCRAMBLED	0	0
0	1	0.376137650589953	SCRAMBLED	0	0
0	1	0.301954320113964	SCRAMBLED	0	0
