index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     3087.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,     2349.0 
3   , ctx-rh-parsorbitalis_1                                 , cortical  ,     2306.0 
4   , ctx-rh-frontalpole_1                                   , cortical  ,      882.0 
5   , ctx-rh-medialorbitofrontal_1                           , cortical  ,     2435.0 
6   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     2118.0 
7   , ctx-rh-parstriangularis_1                              , cortical  ,     3062.0 
8   , ctx-rh-parsopercularis_1                               , cortical  ,     3587.0 
9   , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     6815.0 
10  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     5860.0 
11  , ctx-rh-superiorfrontal_1                               , cortical  ,     5280.0 
12  , ctx-rh-superiorfrontal_2                               , cortical  ,     5849.0 
13  , ctx-rh-superiorfrontal_3                               , cortical  ,     5537.0 
14  , ctx-rh-superiorfrontal_4                               , cortical  ,     4324.0 
15  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     5879.0 
16  , ctx-rh-precentral_1                                    , cortical  ,     3356.0 
17  , ctx-rh-precentral_2                                    , cortical  ,     3687.0 
18  , ctx-rh-precentral_3                                    , cortical  ,     4332.0 
19  , ctx-rh-paracentral_1                                   , cortical  ,     3287.0 
20  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     1497.0 
21  , ctx-rh-caudalanteriorcingulate_1                       , cortical  ,     1619.0 
22  , ctx-rh-posteriorcingulate_1                            , cortical  ,     2536.0 
23  , ctx-rh-isthmuscingulate_1                              , cortical  ,     2225.0 
24  , ctx-rh-postcentral_1                                   , cortical  ,     2680.0 
25  , ctx-rh-postcentral_2                                   , cortical  ,     5041.0 
26  , ctx-rh-supramarginal_1                                 , cortical  ,     3723.0 
27  , ctx-rh-supramarginal_2                                 , cortical  ,     4142.0 
28  , ctx-rh-superiorparietal_1                              , cortical  ,     3128.0 
29  , ctx-rh-superiorparietal_2                              , cortical  ,     2669.0 
30  , ctx-rh-superiorparietal_3                              , cortical  ,     4609.0 
31  , ctx-rh-inferiorparietal_1                              , cortical  ,     4546.0 
32  , ctx-rh-inferiorparietal_2                              , cortical  ,     3285.0 
33  , ctx-rh-inferiorparietal_3                              , cortical  ,     4618.0 
34  , ctx-rh-precuneus_1                                     , cortical  ,     3810.0 
35  , ctx-rh-precuneus_2                                     , cortical  ,     5348.0 
36  , ctx-rh-cuneus_1                                        , cortical  ,     2252.0 
37  , ctx-rh-pericalcarine_1                                 , cortical  ,     1503.0 
38  , ctx-rh-lateraloccipital_1                              , cortical  ,     3121.0 
39  , ctx-rh-lateraloccipital_2                              , cortical  ,     3952.0 
40  , ctx-rh-lateraloccipital_3                              , cortical  ,     2105.0 
41  , ctx-rh-lingual_1                                       , cortical  ,     3362.0 
42  , ctx-rh-lingual_2                                       , cortical  ,     2442.0 
43  , ctx-rh-fusiform_1                                      , cortical  ,     3121.0 
44  , ctx-rh-fusiform_2                                      , cortical  ,     4151.0 
45  , ctx-rh-parahippocampal_1                               , cortical  ,     1999.0 
46  , ctx-rh-entorhinal_1                                    , cortical  ,     1696.0 
47  , ctx-rh-temporalpole_1                                  , cortical  ,     2406.0 
48  , ctx-rh-inferiortemporal_1                              , cortical  ,     5071.0 
49  , ctx-rh-inferiortemporal_2                              , cortical  ,     4633.0 
50  , ctx-rh-middletemporal_1                                , cortical  ,     3947.0 
51  , ctx-rh-middletemporal_2                                , cortical  ,     5181.0 
52  , ctx-rh-bankssts_1                                      , cortical  ,     2112.0 
53  , ctx-rh-superiortemporal_1                              , cortical  ,     5524.0 
54  , ctx-rh-superiortemporal_2                              , cortical  ,     5265.0 
55  , ctx-rh-transversetemporal_1                            , cortical  ,      740.0 
56  , ctx-rh-insula_1                                        , cortical  ,     2555.0 
57  , ctx-rh-insula_2                                        , cortical  ,     2663.0 
58  , Right-Thalamus_Proper                                  , subcortical,     6677.0 
59  , Right-Caudate                                          , subcortical,     2859.0 
60  , Right-Putamen                                          , subcortical,     3713.0 
61  , Right-Pallidum                                         , subcortical,     1716.0 
62  , Right-Accumbens_area                                   , subcortical,      413.0 
63  , Right-Hippocampus                                      , subcortical,     4411.0 
64  , Right-Amygdala                                         , subcortical,     1477.0 
65  , ctx-lh-lateralorbitofrontal_1                          , cortical  ,     3366.0 
66  , ctx-lh-lateralorbitofrontal_2                          , cortical  ,     2676.0 
67  , ctx-lh-parsorbitalis_1                                 , cortical  ,     1883.0 
68  , ctx-lh-frontalpole_1                                   , cortical  ,      807.0 
69  , ctx-lh-medialorbitofrontal_1                           , cortical  ,     1876.0 
70  , ctx-lh-medialorbitofrontal_2                           , cortical  ,     1957.0 
71  , ctx-lh-parstriangularis_1                              , cortical  ,     2688.0 
72  , ctx-lh-parsopercularis_1                               , cortical  ,     4325.0 
73  , ctx-lh-rostralmiddlefrontal_1                          , cortical  ,     8384.0 
74  , ctx-lh-rostralmiddlefrontal_2                          , cortical  ,     5609.0 
75  , ctx-lh-superiorfrontal_1                               , cortical  ,     5847.0 
76  , ctx-lh-superiorfrontal_2                               , cortical  ,     5625.0 
77  , ctx-lh-superiorfrontal_3                               , cortical  ,     5761.0 
78  , ctx-lh-superiorfrontal_4                               , cortical  ,     4769.0 
79  , ctx-lh-caudalmiddlefrontal_1                           , cortical  ,     5801.0 
80  , ctx-lh-precentral_1                                    , cortical  ,     3507.0 
81  , ctx-lh-precentral_2                                    , cortical  ,     4614.0 
82  , ctx-lh-precentral_3                                    , cortical  ,     3679.0 
83  , ctx-lh-paracentral_1                                   , cortical  ,     2976.0 
84  , ctx-lh-rostralanteriorcingulate_1                      , cortical  ,     2188.0 
85  , ctx-lh-caudalanteriorcingulate_1                       , cortical  ,     1432.0 
86  , ctx-lh-posteriorcingulate_1                            , cortical  ,     2829.0 
87  , ctx-lh-isthmuscingulate_1                              , cortical  ,     2064.0 
88  , ctx-lh-postcentral_1                                   , cortical  ,     2840.0 
89  , ctx-lh-postcentral_2                                   , cortical  ,     6287.0 
90  , ctx-lh-supramarginal_1                                 , cortical  ,     3723.0 
91  , ctx-lh-supramarginal_2                                 , cortical  ,     5135.0 
92  , ctx-lh-superiorparietal_1                              , cortical  ,     3654.0 
93  , ctx-lh-superiorparietal_2                              , cortical  ,     2929.0 
94  , ctx-lh-superiorparietal_3                              , cortical  ,     3666.0 
95  , ctx-lh-inferiorparietal_1                              , cortical  ,     4482.0 
96  , ctx-lh-inferiorparietal_2                              , cortical  ,     3592.0 
97  , ctx-lh-inferiorparietal_3                              , cortical  ,     3006.0 
98  , ctx-lh-precuneus_1                                     , cortical  ,     3293.0 
99  , ctx-lh-precuneus_2                                     , cortical  ,     5654.0 
100 , ctx-lh-cuneus_1                                        , cortical  ,     1977.0 
101 , ctx-lh-pericalcarine_1                                 , cortical  ,     1775.0 
102 , ctx-lh-lateraloccipital_1                              , cortical  ,     2565.0 
103 , ctx-lh-lateraloccipital_2                              , cortical  ,     3285.0 
104 , ctx-lh-lateraloccipital_3                              , cortical  ,     2967.0 
105 , ctx-lh-lingual_1                                       , cortical  ,     3404.0 
106 , ctx-lh-lingual_2                                       , cortical  ,     2069.0 
107 , ctx-lh-fusiform_1                                      , cortical  ,     3514.0 
108 , ctx-lh-fusiform_2                                      , cortical  ,     4807.0 
109 , ctx-lh-parahippocampal_1                               , cortical  ,     2054.0 
110 , ctx-lh-entorhinal_1                                    , cortical  ,     1819.0 
111 , ctx-lh-temporalpole_1                                  , cortical  ,     2580.0 
112 , ctx-lh-inferiortemporal_1                              , cortical  ,     4301.0 
113 , ctx-lh-inferiortemporal_2                              , cortical  ,     4821.0 
114 , ctx-lh-middletemporal_1                                , cortical  ,     3712.0 
115 , ctx-lh-middletemporal_2                                , cortical  ,     6037.0 
116 , ctx-lh-bankssts_1                                      , cortical  ,     1907.0 
117 , ctx-lh-superiortemporal_1                              , cortical  ,     5268.0 
118 , ctx-lh-superiortemporal_2                              , cortical  ,     5427.0 
119 , ctx-lh-transversetemporal_1                            , cortical  ,      926.0 
120 , ctx-lh-insula_1                                        , cortical  ,     2765.0 
121 , ctx-lh-insula_2                                        , cortical  ,     2677.0 
122 , Left-Thalamus_Proper                                   , subcortical,     7317.0 
123 , Left-Caudate                                           , subcortical,     2858.0 
124 , Left-Putamen                                           , subcortical,     3584.0 
125 , Left-Pallidum                                          , subcortical,     1662.0 
126 , Left-Accumbens_area                                    , subcortical,      376.0 
127 , Left-Hippocampus                                       , subcortical,     4292.0 
128 , Left-Amygdala                                          , subcortical,     1261.0 
129 , brainstem                                              , subcortical,    19243.0 
