COND	DIREC	ACC	RT	nameCOND	nameDIREC	outliers	bad_trials
0	0	1	0.879029227434785	RANDOM	NONE	0	0
0	0	1	0.884872058097244	RANDOM	NONE	0	0
1	0	1	0.509568665258939	COHERENT	RIGHT	0	0
1	180	1	0.544207290845861	COHERENT	LEFT	0	0
0	0	1	0.64437061965009	RANDOM	NONE	0	0
0	0	1	0.694116329590088	RANDOM	NONE	0	0
0	0	1	0.889885114440403	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.574315813494195	COHERENT	RIGHT	0	1
0	0	1	0.903621214814848	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	0.784622703216883	RANDOM	NONE	0	0
0	0	1	0.968339687692151	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.75942219454646	COHERENT	RIGHT	0	0
1	180	1	0.633850083414927	COHERENT	LEFT	0	0
1	0	1	1.01210401971184	COHERENT	RIGHT	0	0
1	180	1	0.738560720373698	COHERENT	LEFT	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	1	0.728446166844151	COHERENT	LEFT	0	0
0	0	1	0.714074680895919	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	1	1.02285154404763	RANDOM	NONE	0	0
1	180	1	0.709703047043604	COHERENT	LEFT	0	1
1	0	1	0.673265118176914	COHERENT	RIGHT	0	1
1	180	1	0.634319151909494	COHERENT	LEFT	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	180	0	NaN	COHERENT	LEFT	1	0
1	180	1	0.614814474958621	COHERENT	LEFT	0	0
0	0	1	0.92940790818102	RANDOM	NONE	0	0
1	180	1	1.01978569546327	COHERENT	LEFT	0	0
0	0	1	0.877674241287423	RANDOM	NONE	0	0
1	180	1	0.903676452610853	COHERENT	LEFT	0	0
0	0	1	0.804591619128132	RANDOM	NONE	0	0
0	0	1	0.833339118712502	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	1.14467744598551	RANDOM	NONE	0	0
1	0	1	1.05965712119314	COHERENT	RIGHT	0	0
1	180	1	0.759479847108651	COHERENT	LEFT	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	1	0.874979663133672	RANDOM	NONE	0	0
0	0	1	1.02813022476357	RANDOM	NONE	0	0
1	180	1	0.954866193231283	COHERENT	LEFT	0	0
0	0	1	1.02958572558737	RANDOM	NONE	0	0
0	0	1	1.01930515682534	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	1.10816556487907	RANDOM	NONE	0	0
1	0	1	0.760310225119611	COHERENT	RIGHT	0	0
0	0	1	0.964686447029635	RANDOM	NONE	0	0
0	0	1	1.06487996042233	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
0	0	1	1.0289189480427	RANDOM	NONE	0	0
0	0	1	1.17003461266677	RANDOM	NONE	0	0
1	0	1	1.14745533360156	COHERENT	RIGHT	0	0
0	0	1	0.933608093574549	RANDOM	NONE	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.999804705716997	COHERENT	RIGHT	0	0
1	0	1	0.794577580276837	COHERENT	RIGHT	0	0
1	0	1	1.19434950553114	COHERENT	RIGHT	0	0
1	0	1	0.85817379017908	COHERENT	RIGHT	0	0
1	180	1	1.14490624516111	COHERENT	LEFT	0	1
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	0	NaN	COHERENT	LEFT	1	0
1	0	0	NaN	COHERENT	RIGHT	1	0
0	0	1	1.00465204867351	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	0	NaN	COHERENT	LEFT	1	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	0	1	1.03468571354415	COHERENT	RIGHT	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.938338924021991	COHERENT	RIGHT	0	0
0	0	1	0.954084714252986	RANDOM	NONE	0	0
0	0	1	1.13391603673927	RANDOM	NONE	0	0
0	0	1	1.01463680847473	RANDOM	NONE	0	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	0	NaN	RANDOM	NONE	1	0
1	180	1	0.759596963309377	COHERENT	LEFT	0	0
1	180	1	1.16897422809734	COHERENT	LEFT	0	0
0	0	1	0.972735167369137	RANDOM	NONE	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.838565278246278	COHERENT	RIGHT	0	0
1	180	1	0.839061512869648	COHERENT	LEFT	0	0
0	0	1	0.948119636010233	RANDOM	NONE	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
1	180	0	NaN	COHERENT	LEFT	1	0
1	0	0	NaN	COHERENT	RIGHT	1	0
1	0	1	1.15972416116301	COHERENT	RIGHT	0	0
1	180	0	NaN	COHERENT	LEFT	1	0
0	0	1	0.998508277670226	RANDOM	NONE	0	0
0	0	0	NaN	RANDOM	NONE	1	0
1	0	1	0.744997885569774	COHERENT	RIGHT	0	0
