index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     1995.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,     2649.0 
3   , ctx-rh-lateralorbitofrontal_3                          , cortical  ,     1988.0 
4   , ctx-rh-lateralorbitofrontal_4                          , cortical  ,     1217.0 
5   , ctx-rh-parsorbitalis_1                                 , cortical  ,     2374.0 
6   , ctx-rh-frontalpole_1                                   , cortical  ,      957.0 
7   , ctx-rh-medialorbitofrontal_1                           , cortical  ,     2952.0 
8   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     1566.0 
9   , ctx-rh-medialorbitofrontal_3                           , cortical  ,     1008.0 
10  , ctx-rh-parstriangularis_1                              , cortical  ,      801.0 
11  , ctx-rh-parstriangularis_2                              , cortical  ,     2788.0 
12  , ctx-rh-parsopercularis_1                               , cortical  ,     1618.0 
13  , ctx-rh-parsopercularis_2                               , cortical  ,     2225.0 
14  , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     2702.0 
15  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     2164.0 
16  , ctx-rh-rostralmiddlefrontal_3                          , cortical  ,     4241.0 
17  , ctx-rh-rostralmiddlefrontal_4                          , cortical  ,     2494.0 
18  , ctx-rh-rostralmiddlefrontal_5                          , cortical  ,     2171.0 
19  , ctx-rh-rostralmiddlefrontal_6                          , cortical  ,     2886.0 
20  , ctx-rh-superiorfrontal_1                               , cortical  ,     2848.0 
21  , ctx-rh-superiorfrontal_2                               , cortical  ,     3624.0 
22  , ctx-rh-superiorfrontal_3                               , cortical  ,     3698.0 
23  , ctx-rh-superiorfrontal_4                               , cortical  ,     3908.0 
24  , ctx-rh-superiorfrontal_5                               , cortical  ,     3797.0 
25  , ctx-rh-superiorfrontal_6                               , cortical  ,     2494.0 
26  , ctx-rh-superiorfrontal_7                               , cortical  ,     1885.0 
27  , ctx-rh-superiorfrontal_8                               , cortical  ,     2356.0 
28  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     1969.0 
29  , ctx-rh-caudalmiddlefrontal_2                           , cortical  ,      783.0 
30  , ctx-rh-caudalmiddlefrontal_3                           , cortical  ,     3463.0 
31  , ctx-rh-precentral_1                                    , cortical  ,     1921.0 
32  , ctx-rh-precentral_2                                    , cortical  ,     2204.0 
33  , ctx-rh-precentral_3                                    , cortical  ,     1577.0 
34  , ctx-rh-precentral_4                                    , cortical  ,     2385.0 
35  , ctx-rh-precentral_5                                    , cortical  ,     3373.0 
36  , ctx-rh-precentral_6                                    , cortical  ,     3004.0 
37  , ctx-rh-paracentral_1                                   , cortical  ,     1210.0 
38  , ctx-rh-paracentral_2                                   , cortical  ,     1986.0 
39  , ctx-rh-paracentral_3                                   , cortical  ,     1233.0 
40  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     1801.0 
41  , ctx-rh-caudalanteriorcingulate_1                       , cortical  ,     2550.0 
42  , ctx-rh-posteriorcingulate_1                            , cortical  ,     1517.0 
43  , ctx-rh-posteriorcingulate_2                            , cortical  ,     1656.0 
44  , ctx-rh-isthmuscingulate_1                              , cortical  ,     2284.0 
45  , ctx-rh-postcentral_1                                   , cortical  ,     1727.0 
46  , ctx-rh-postcentral_2                                   , cortical  ,     1766.0 
47  , ctx-rh-postcentral_3                                   , cortical  ,     2173.0 
48  , ctx-rh-postcentral_4                                   , cortical  ,     1177.0 
49  , ctx-rh-postcentral_5                                   , cortical  ,     2813.0 
50  , ctx-rh-supramarginal_1                                 , cortical  ,     1415.0 
51  , ctx-rh-supramarginal_2                                 , cortical  ,     2473.0 
52  , ctx-rh-supramarginal_3                                 , cortical  ,     3325.0 
53  , ctx-rh-supramarginal_4                                 , cortical  ,     2333.0 
54  , ctx-rh-superiorparietal_1                              , cortical  ,     1924.0 
55  , ctx-rh-superiorparietal_2                              , cortical  ,     1638.0 
56  , ctx-rh-superiorparietal_3                              , cortical  ,     2570.0 
57  , ctx-rh-superiorparietal_4                              , cortical  ,     1481.0 
58  , ctx-rh-superiorparietal_5                              , cortical  ,     2129.0 
59  , ctx-rh-superiorparietal_6                              , cortical  ,     1337.0 
60  , ctx-rh-superiorparietal_7                              , cortical  ,     2376.0 
61  , ctx-rh-inferiorparietal_1                              , cortical  ,     2121.0 
62  , ctx-rh-inferiorparietal_2                              , cortical  ,     3390.0 
63  , ctx-rh-inferiorparietal_3                              , cortical  ,     2481.0 
64  , ctx-rh-inferiorparietal_4                              , cortical  ,     1976.0 
65  , ctx-rh-inferiorparietal_5                              , cortical  ,     2294.0 
66  , ctx-rh-inferiorparietal_6                              , cortical  ,     3041.0 
67  , ctx-rh-precuneus_1                                     , cortical  ,     1249.0 
68  , ctx-rh-precuneus_2                                     , cortical  ,     1924.0 
69  , ctx-rh-precuneus_3                                     , cortical  ,     2194.0 
70  , ctx-rh-precuneus_4                                     , cortical  ,     2903.0 
71  , ctx-rh-precuneus_5                                     , cortical  ,     2977.0 
72  , ctx-rh-cuneus_1                                        , cortical  ,     1076.0 
73  , ctx-rh-cuneus_2                                        , cortical  ,     1140.0 
74  , ctx-rh-pericalcarine_1                                 , cortical  ,      854.0 
75  , ctx-rh-pericalcarine_2                                 , cortical  ,      574.0 
76  , ctx-rh-lateraloccipital_1                              , cortical  ,     1590.0 
77  , ctx-rh-lateraloccipital_2                              , cortical  ,     1492.0 
78  , ctx-rh-lateraloccipital_3                              , cortical  ,     1963.0 
79  , ctx-rh-lateraloccipital_4                              , cortical  ,     3576.0 
80  , ctx-rh-lateraloccipital_5                              , cortical  ,     3375.0 
81  , ctx-rh-lingual_1                                       , cortical  ,     2072.0 
82  , ctx-rh-lingual_2                                       , cortical  ,     1541.0 
83  , ctx-rh-lingual_3                                       , cortical  ,     2609.0 
84  , ctx-rh-fusiform_1                                      , cortical  ,     2727.0 
85  , ctx-rh-fusiform_2                                      , cortical  ,     2867.0 
86  , ctx-rh-fusiform_3                                      , cortical  ,     2656.0 
87  , ctx-rh-fusiform_4                                      , cortical  ,     2814.0 
88  , ctx-rh-parahippocampal_1                               , cortical  ,     2400.0 
89  , ctx-rh-entorhinal_1                                    , cortical  ,     1941.0 
90  , ctx-rh-temporalpole_1                                  , cortical  ,     3029.0 
91  , ctx-rh-inferiortemporal_1                              , cortical  ,     3005.0 
92  , ctx-rh-inferiortemporal_2                              , cortical  ,     1904.0 
93  , ctx-rh-inferiortemporal_3                              , cortical  ,     2303.0 
94  , ctx-rh-inferiortemporal_4                              , cortical  ,     4128.0 
95  , ctx-rh-middletemporal_1                                , cortical  ,     4047.0 
96  , ctx-rh-middletemporal_2                                , cortical  ,     1577.0 
97  , ctx-rh-middletemporal_3                                , cortical  ,     2391.0 
98  , ctx-rh-middletemporal_4                                , cortical  ,     4982.0 
99  , ctx-rh-bankssts_1                                      , cortical  ,     2045.0 
100 , ctx-rh-superiortemporal_1                              , cortical  ,     1513.0 
101 , ctx-rh-superiortemporal_2                              , cortical  ,     2158.0 
102 , ctx-rh-superiortemporal_3                              , cortical  ,     2956.0 
103 , ctx-rh-superiortemporal_4                              , cortical  ,     1184.0 
104 , ctx-rh-superiortemporal_5                              , cortical  ,     4391.0 
105 , ctx-rh-transversetemporal_1                            , cortical  ,      857.0 
106 , ctx-rh-insula_1                                        , cortical  ,     1588.0 
107 , ctx-rh-insula_2                                        , cortical  ,     2340.0 
108 , ctx-rh-insula_3                                        , cortical  ,     2188.0 
109 , Right-Thalamus_Proper                                  , subcortical,     7419.0 
110 , Right-Caudate                                          , subcortical,     3563.0 
111 , Right-Putamen                                          , subcortical,     4521.0 
112 , Right-Pallidum                                         , subcortical,     1892.0 
113 , Right-Accumbens_area                                   , subcortical,      644.0 
114 , Right-Hippocampus                                      , subcortical,     4648.0 
115 , Right-Amygdala                                         , subcortical,     1884.0 
116 , ctx-lh-lateralorbitofrontal_1                          , cortical  ,     2001.0 
117 , ctx-lh-lateralorbitofrontal_2                          , cortical  ,     2404.0 
118 , ctx-lh-lateralorbitofrontal_3                          , cortical  ,     2115.0 
119 , ctx-lh-lateralorbitofrontal_4                          , cortical  ,     1510.0 
120 , ctx-lh-parsorbitalis_1                                 , cortical  ,     2327.0 
121 , ctx-lh-frontalpole_1                                   , cortical  ,      928.0 
122 , ctx-lh-medialorbitofrontal_1                           , cortical  ,     2500.0 
123 , ctx-lh-medialorbitofrontal_2                           , cortical  ,     1470.0 
124 , ctx-lh-medialorbitofrontal_3                           , cortical  ,      888.0 
125 , ctx-lh-parstriangularis_1                              , cortical  ,      836.0 
126 , ctx-lh-parstriangularis_2                              , cortical  ,     1983.0 
127 , ctx-lh-parsopercularis_1                               , cortical  ,     2144.0 
128 , ctx-lh-parsopercularis_2                               , cortical  ,     2331.0 
129 , ctx-lh-rostralmiddlefrontal_1                          , cortical  ,     3151.0 
130 , ctx-lh-rostralmiddlefrontal_2                          , cortical  ,     2255.0 
131 , ctx-lh-rostralmiddlefrontal_3                          , cortical  ,     3055.0 
132 , ctx-lh-rostralmiddlefrontal_4                          , cortical  ,     1967.0 
133 , ctx-lh-rostralmiddlefrontal_5                          , cortical  ,     1566.0 
134 , ctx-lh-rostralmiddlefrontal_6                          , cortical  ,     2933.0 
135 , ctx-lh-superiorfrontal_1                               , cortical  ,     2167.0 
136 , ctx-lh-superiorfrontal_2                               , cortical  ,     3184.0 
137 , ctx-lh-superiorfrontal_3                               , cortical  ,     3353.0 
138 , ctx-lh-superiorfrontal_4                               , cortical  ,     3005.0 
139 , ctx-lh-superiorfrontal_5                               , cortical  ,     3926.0 
140 , ctx-lh-superiorfrontal_6                               , cortical  ,     2952.0 
141 , ctx-lh-superiorfrontal_7                               , cortical  ,     2523.0 
142 , ctx-lh-superiorfrontal_8                               , cortical  ,     2572.0 
143 , ctx-lh-caudalmiddlefrontal_1                           , cortical  ,     2858.0 
144 , ctx-lh-caudalmiddlefrontal_2                           , cortical  ,     1177.0 
145 , ctx-lh-caudalmiddlefrontal_3                           , cortical  ,     4137.0 
146 , ctx-lh-precentral_1                                    , cortical  ,     2216.0 
147 , ctx-lh-precentral_2                                    , cortical  ,     1888.0 
148 , ctx-lh-precentral_3                                    , cortical  ,     2252.0 
149 , ctx-lh-precentral_4                                    , cortical  ,     3017.0 
150 , ctx-lh-precentral_5                                    , cortical  ,     3258.0 
151 , ctx-lh-precentral_6                                    , cortical  ,     2776.0 
152 , ctx-lh-paracentral_1                                   , cortical  ,     1476.0 
153 , ctx-lh-paracentral_2                                   , cortical  ,     1254.0 
154 , ctx-lh-paracentral_3                                   , cortical  ,     1129.0 
155 , ctx-lh-rostralanteriorcingulate_1                      , cortical  ,     3159.0 
156 , ctx-lh-caudalanteriorcingulate_1                       , cortical  ,     1752.0 
157 , ctx-lh-posteriorcingulate_1                            , cortical  ,     1171.0 
158 , ctx-lh-posteriorcingulate_2                            , cortical  ,     1835.0 
159 , ctx-lh-isthmuscingulate_1                              , cortical  ,     2335.0 
160 , ctx-lh-postcentral_1                                   , cortical  ,     1612.0 
161 , ctx-lh-postcentral_2                                   , cortical  ,     2127.0 
162 , ctx-lh-postcentral_3                                   , cortical  ,     2612.0 
163 , ctx-lh-postcentral_4                                   , cortical  ,     1483.0 
164 , ctx-lh-postcentral_5                                   , cortical  ,     3390.0 
165 , ctx-lh-supramarginal_1                                 , cortical  ,     1756.0 
166 , ctx-lh-supramarginal_2                                 , cortical  ,     3521.0 
167 , ctx-lh-supramarginal_3                                 , cortical  ,     4020.0 
168 , ctx-lh-supramarginal_4                                 , cortical  ,     2323.0 
169 , ctx-lh-superiorparietal_1                              , cortical  ,     2347.0 
170 , ctx-lh-superiorparietal_2                              , cortical  ,     1651.0 
171 , ctx-lh-superiorparietal_3                              , cortical  ,     2518.0 
172 , ctx-lh-superiorparietal_4                              , cortical  ,     2320.0 
173 , ctx-lh-superiorparietal_5                              , cortical  ,     1946.0 
174 , ctx-lh-superiorparietal_6                              , cortical  ,     1460.0 
175 , ctx-lh-superiorparietal_7                              , cortical  ,     2125.0 
176 , ctx-lh-inferiorparietal_1                              , cortical  ,     1995.0 
177 , ctx-lh-inferiorparietal_2                              , cortical  ,     3071.0 
178 , ctx-lh-inferiorparietal_3                              , cortical  ,     2048.0 
179 , ctx-lh-inferiorparietal_4                              , cortical  ,     1814.0 
180 , ctx-lh-inferiorparietal_5                              , cortical  ,      978.0 
181 , ctx-lh-inferiorparietal_6                              , cortical  ,     1928.0 
182 , ctx-lh-precuneus_1                                     , cortical  ,      807.0 
183 , ctx-lh-precuneus_2                                     , cortical  ,     1614.0 
184 , ctx-lh-precuneus_3                                     , cortical  ,     1676.0 
185 , ctx-lh-precuneus_4                                     , cortical  ,     3726.0 
186 , ctx-lh-precuneus_5                                     , cortical  ,     3252.0 
187 , ctx-lh-cuneus_1                                        , cortical  ,     1190.0 
188 , ctx-lh-cuneus_2                                        , cortical  ,     1147.0 
189 , ctx-lh-pericalcarine_1                                 , cortical  ,     1036.0 
190 , ctx-lh-pericalcarine_2                                 , cortical  ,      745.0 
191 , ctx-lh-lateraloccipital_1                              , cortical  ,     1185.0 
192 , ctx-lh-lateraloccipital_2                              , cortical  ,     1025.0 
193 , ctx-lh-lateraloccipital_3                              , cortical  ,     1695.0 
194 , ctx-lh-lateraloccipital_4                              , cortical  ,     2491.0 
195 , ctx-lh-lateraloccipital_5                              , cortical  ,     3182.0 
196 , ctx-lh-lingual_1                                       , cortical  ,     2541.0 
197 , ctx-lh-lingual_2                                       , cortical  ,     1842.0 
198 , ctx-lh-lingual_3                                       , cortical  ,     3097.0 
199 , ctx-lh-fusiform_1                                      , cortical  ,     1956.0 
200 , ctx-lh-fusiform_2                                      , cortical  ,     2665.0 
201 , ctx-lh-fusiform_3                                      , cortical  ,     1809.0 
202 , ctx-lh-fusiform_4                                      , cortical  ,     2957.0 
203 , ctx-lh-parahippocampal_1                               , cortical  ,     2569.0 
204 , ctx-lh-entorhinal_1                                    , cortical  ,     2317.0 
205 , ctx-lh-temporalpole_1                                  , cortical  ,     2933.0 
206 , ctx-lh-inferiortemporal_1                              , cortical  ,     3624.0 
207 , ctx-lh-inferiortemporal_2                              , cortical  ,     2150.0 
208 , ctx-lh-inferiortemporal_3                              , cortical  ,     2793.0 
209 , ctx-lh-inferiortemporal_4                              , cortical  ,     3253.0 
210 , ctx-lh-middletemporal_1                                , cortical  ,     2957.0 
211 , ctx-lh-middletemporal_2                                , cortical  ,     2069.0 
212 , ctx-lh-middletemporal_3                                , cortical  ,     2130.0 
213 , ctx-lh-middletemporal_4                                , cortical  ,     4819.0 
214 , ctx-lh-bankssts_1                                      , cortical  ,     2759.0 
215 , ctx-lh-superiortemporal_1                              , cortical  ,     2424.0 
216 , ctx-lh-superiortemporal_2                              , cortical  ,     1851.0 
217 , ctx-lh-superiortemporal_3                              , cortical  ,     2115.0 
218 , ctx-lh-superiortemporal_4                              , cortical  ,     1422.0 
219 , ctx-lh-superiortemporal_5                              , cortical  ,     4995.0 
220 , ctx-lh-transversetemporal_1                            , cortical  ,     1161.0 
221 , ctx-lh-insula_1                                        , cortical  ,     1698.0 
222 , ctx-lh-insula_2                                        , cortical  ,     2221.0 
223 , ctx-lh-insula_3                                        , cortical  ,     2281.0 
224 , Left-Thalamus_Proper                                   , subcortical,     8210.0 
225 , Left-Caudate                                           , subcortical,     3706.0 
226 , Left-Putamen                                           , subcortical,     4145.0 
227 , Left-Pallidum                                          , subcortical,     1684.0 
228 , Left-Accumbens_area                                    , subcortical,      457.0 
229 , Left-Hippocampus                                       , subcortical,     4715.0 
230 , Left-Amygdala                                          , subcortical,     1809.0 
231 , brainstem                                              , subcortical,    21213.0 
