index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     1222.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,      770.0 
3   , ctx-rh-lateralorbitofrontal_3                          , cortical  ,     1512.0 
4   , ctx-rh-lateralorbitofrontal_4                          , cortical  ,      975.0 
5   , ctx-rh-lateralorbitofrontal_5                          , cortical  ,      853.0 
6   , ctx-rh-lateralorbitofrontal_6                          , cortical  ,     1151.0 
7   , ctx-rh-lateralorbitofrontal_7                          , cortical  ,     1223.0 
8   , ctx-rh-parsorbitalis_1                                 , cortical  ,     1497.0 
9   , ctx-rh-parsorbitalis_2                                 , cortical  ,     1154.0 
10  , ctx-rh-frontalpole_1                                   , cortical  ,      945.0 
11  , ctx-rh-medialorbitofrontal_1                           , cortical  ,      861.0 
12  , ctx-rh-medialorbitofrontal_2                           , cortical  ,     1500.0 
13  , ctx-rh-medialorbitofrontal_3                           , cortical  ,      994.0 
14  , ctx-rh-medialorbitofrontal_4                           , cortical  ,      682.0 
15  , ctx-rh-medialorbitofrontal_5                           , cortical  ,     1188.0 
16  , ctx-rh-parstriangularis_1                              , cortical  ,      616.0 
17  , ctx-rh-parstriangularis_2                              , cortical  ,     1252.0 
18  , ctx-rh-parstriangularis_3                              , cortical  ,     1187.0 
19  , ctx-rh-parstriangularis_4                              , cortical  ,     1152.0 
20  , ctx-rh-parsopercularis_1                               , cortical  ,     1125.0 
21  , ctx-rh-parsopercularis_2                               , cortical  ,      543.0 
22  , ctx-rh-parsopercularis_3                               , cortical  ,     1410.0 
23  , ctx-rh-parsopercularis_4                               , cortical  ,     1264.0 
24  , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     1817.0 
25  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     1394.0 
26  , ctx-rh-rostralmiddlefrontal_3                          , cortical  ,     1401.0 
27  , ctx-rh-rostralmiddlefrontal_4                          , cortical  ,     1337.0 
28  , ctx-rh-rostralmiddlefrontal_5                          , cortical  ,      987.0 
29  , ctx-rh-rostralmiddlefrontal_6                          , cortical  ,     1462.0 
30  , ctx-rh-rostralmiddlefrontal_7                          , cortical  ,     1623.0 
31  , ctx-rh-rostralmiddlefrontal_8                          , cortical  ,     1235.0 
32  , ctx-rh-rostralmiddlefrontal_9                          , cortical  ,     1112.0 
33  , ctx-rh-rostralmiddlefrontal_10                         , cortical  ,     1383.0 
34  , ctx-rh-rostralmiddlefrontal_11                         , cortical  ,     1058.0 
35  , ctx-rh-rostralmiddlefrontal_12                         , cortical  ,     1105.0 
36  , ctx-rh-rostralmiddlefrontal_13                         , cortical  ,     1736.0 
37  , ctx-rh-superiorfrontal_1                               , cortical  ,     1545.0 
38  , ctx-rh-superiorfrontal_2                               , cortical  ,      611.0 
39  , ctx-rh-superiorfrontal_3                               , cortical  ,     1026.0 
40  , ctx-rh-superiorfrontal_4                               , cortical  ,     1357.0 
41  , ctx-rh-superiorfrontal_5                               , cortical  ,      749.0 
42  , ctx-rh-superiorfrontal_6                               , cortical  ,     1349.0 
43  , ctx-rh-superiorfrontal_7                               , cortical  ,      994.0 
44  , ctx-rh-superiorfrontal_8                               , cortical  ,     1817.0 
45  , ctx-rh-superiorfrontal_9                               , cortical  ,     1532.0 
46  , ctx-rh-superiorfrontal_10                              , cortical  ,     1109.0 
47  , ctx-rh-superiorfrontal_11                              , cortical  ,      864.0 
48  , ctx-rh-superiorfrontal_12                              , cortical  ,     1059.0 
49  , ctx-rh-superiorfrontal_13                              , cortical  ,      858.0 
50  , ctx-rh-superiorfrontal_14                              , cortical  ,      556.0 
51  , ctx-rh-superiorfrontal_15                              , cortical  ,      846.0 
52  , ctx-rh-superiorfrontal_16                              , cortical  ,      877.0 
53  , ctx-rh-superiorfrontal_17                              , cortical  ,     1258.0 
54  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     1028.0 
55  , ctx-rh-caudalmiddlefrontal_2                           , cortical  ,     1150.0 
56  , ctx-rh-caudalmiddlefrontal_3                           , cortical  ,      708.0 
57  , ctx-rh-caudalmiddlefrontal_4                           , cortical  ,     1006.0 
58  , ctx-rh-caudalmiddlefrontal_5                           , cortical  ,      938.0 
59  , ctx-rh-precentral_1                                    , cortical  ,      465.0 
60  , ctx-rh-precentral_2                                    , cortical  ,     1069.0 
61  , ctx-rh-precentral_3                                    , cortical  ,      408.0 
62  , ctx-rh-precentral_4                                    , cortical  ,     1451.0 
63  , ctx-rh-precentral_5                                    , cortical  ,      473.0 
64  , ctx-rh-precentral_6                                    , cortical  ,     1102.0 
65  , ctx-rh-precentral_7                                    , cortical  ,      532.0 
66  , ctx-rh-precentral_8                                    , cortical  ,      901.0 
67  , ctx-rh-precentral_9                                    , cortical  ,      908.0 
68  , ctx-rh-precentral_10                                   , cortical  ,     1289.0 
69  , ctx-rh-precentral_11                                   , cortical  ,      393.0 
70  , ctx-rh-precentral_12                                   , cortical  ,     1592.0 
71  , ctx-rh-precentral_13                                   , cortical  ,     1251.0 
72  , ctx-rh-precentral_14                                   , cortical  ,      673.0 
73  , ctx-rh-precentral_15                                   , cortical  ,      486.0 
74  , ctx-rh-precentral_16                                   , cortical  ,      939.0 
75  , ctx-rh-paracentral_1                                   , cortical  ,      486.0 
76  , ctx-rh-paracentral_2                                   , cortical  ,      463.0 
77  , ctx-rh-paracentral_3                                   , cortical  ,      648.0 
78  , ctx-rh-paracentral_4                                   , cortical  ,      795.0 
79  , ctx-rh-paracentral_5                                   , cortical  ,      548.0 
80  , ctx-rh-paracentral_6                                   , cortical  ,      413.0 
81  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     1116.0 
82  , ctx-rh-rostralanteriorcingulate_2                      , cortical  ,      856.0 
83  , ctx-rh-caudalanteriorcingulate_1                       , cortical  ,      711.0 
84  , ctx-rh-caudalanteriorcingulate_2                       , cortical  ,      890.0 
85  , ctx-rh-caudalanteriorcingulate_3                       , cortical  ,      703.0 
86  , ctx-rh-posteriorcingulate_1                            , cortical  ,      527.0 
87  , ctx-rh-posteriorcingulate_2                            , cortical  ,      941.0 
88  , ctx-rh-posteriorcingulate_3                            , cortical  ,      501.0 
89  , ctx-rh-posteriorcingulate_4                            , cortical  ,      627.0 
90  , ctx-rh-isthmuscingulate_1                              , cortical  ,     1075.0 
91  , ctx-rh-isthmuscingulate_2                              , cortical  ,     1118.0 
92  , ctx-rh-postcentral_1                                   , cortical  ,      796.0 
93  , ctx-rh-postcentral_2                                   , cortical  ,     1230.0 
94  , ctx-rh-postcentral_3                                   , cortical  ,      963.0 
95  , ctx-rh-postcentral_4                                   , cortical  ,     1381.0 
96  , ctx-rh-postcentral_5                                   , cortical  ,      304.0 
97  , ctx-rh-postcentral_6                                   , cortical  ,     1183.0 
98  , ctx-rh-postcentral_7                                   , cortical  ,      754.0 
99  , ctx-rh-postcentral_8                                   , cortical  ,      467.0 
100 , ctx-rh-postcentral_9                                   , cortical  ,      737.0 
101 , ctx-rh-postcentral_10                                  , cortical  ,      680.0 
102 , ctx-rh-postcentral_11                                  , cortical  ,      675.0 
103 , ctx-rh-postcentral_12                                  , cortical  ,      746.0 
104 , ctx-rh-supramarginal_1                                 , cortical  ,      568.0 
105 , ctx-rh-supramarginal_2                                 , cortical  ,     1075.0 
106 , ctx-rh-supramarginal_3                                 , cortical  ,     1263.0 
107 , ctx-rh-supramarginal_4                                 , cortical  ,     1380.0 
108 , ctx-rh-supramarginal_5                                 , cortical  ,     1799.0 
109 , ctx-rh-supramarginal_6                                 , cortical  ,     1155.0 
110 , ctx-rh-supramarginal_7                                 , cortical  ,      960.0 
111 , ctx-rh-supramarginal_8                                 , cortical  ,      880.0 
112 , ctx-rh-supramarginal_9                                 , cortical  ,      700.0 
113 , ctx-rh-superiorparietal_1                              , cortical  ,     1318.0 
114 , ctx-rh-superiorparietal_2                              , cortical  ,      901.0 
115 , ctx-rh-superiorparietal_3                              , cortical  ,      691.0 
116 , ctx-rh-superiorparietal_4                              , cortical  ,      539.0 
117 , ctx-rh-superiorparietal_5                              , cortical  ,     1081.0 
118 , ctx-rh-superiorparietal_6                              , cortical  ,      655.0 
119 , ctx-rh-superiorparietal_7                              , cortical  ,      767.0 
120 , ctx-rh-superiorparietal_8                              , cortical  ,      760.0 
121 , ctx-rh-superiorparietal_9                              , cortical  ,      966.0 
122 , ctx-rh-superiorparietal_10                             , cortical  ,      543.0 
123 , ctx-rh-superiorparietal_11                             , cortical  ,      998.0 
124 , ctx-rh-superiorparietal_12                             , cortical  ,      640.0 
125 , ctx-rh-superiorparietal_13                             , cortical  ,      945.0 
126 , ctx-rh-inferiorparietal_1                              , cortical  ,      617.0 
127 , ctx-rh-inferiorparietal_2                              , cortical  ,     1439.0 
128 , ctx-rh-inferiorparietal_3                              , cortical  ,     1151.0 
129 , ctx-rh-inferiorparietal_4                              , cortical  ,     2805.0 
130 , ctx-rh-inferiorparietal_5                              , cortical  ,     1041.0 
131 , ctx-rh-inferiorparietal_6                              , cortical  ,      845.0 
132 , ctx-rh-inferiorparietal_7                              , cortical  ,     1660.0 
133 , ctx-rh-inferiorparietal_8                              , cortical  ,     1508.0 
134 , ctx-rh-inferiorparietal_9                              , cortical  ,      878.0 
135 , ctx-rh-inferiorparietal_10                             , cortical  ,     1213.0 
136 , ctx-rh-inferiorparietal_11                             , cortical  ,     1579.0 
137 , ctx-rh-inferiorparietal_12                             , cortical  ,     1855.0 
138 , ctx-rh-precuneus_1                                     , cortical  ,      490.0 
139 , ctx-rh-precuneus_2                                     , cortical  ,      397.0 
140 , ctx-rh-precuneus_3                                     , cortical  ,      644.0 
141 , ctx-rh-precuneus_4                                     , cortical  ,      503.0 
142 , ctx-rh-precuneus_5                                     , cortical  ,      804.0 
143 , ctx-rh-precuneus_6                                     , cortical  ,     1008.0 
144 , ctx-rh-precuneus_7                                     , cortical  ,     1046.0 
145 , ctx-rh-precuneus_8                                     , cortical  ,     1631.0 
146 , ctx-rh-precuneus_9                                     , cortical  ,     1288.0 
147 , ctx-rh-precuneus_10                                    , cortical  ,     1267.0 
148 , ctx-rh-cuneus_1                                        , cortical  ,      491.0 
149 , ctx-rh-cuneus_2                                        , cortical  ,      457.0 
150 , ctx-rh-cuneus_3                                        , cortical  ,      635.0 
151 , ctx-rh-cuneus_4                                        , cortical  ,      886.0 
152 , ctx-rh-pericalcarine_1                                 , cortical  ,      357.0 
153 , ctx-rh-pericalcarine_2                                 , cortical  ,      430.0 
154 , ctx-rh-pericalcarine_3                                 , cortical  ,      470.0 
155 , ctx-rh-pericalcarine_4                                 , cortical  ,      490.0 
156 , ctx-rh-lateraloccipital_1                              , cortical  ,      903.0 
157 , ctx-rh-lateraloccipital_2                              , cortical  ,      752.0 
158 , ctx-rh-lateraloccipital_3                              , cortical  ,      907.0 
159 , ctx-rh-lateraloccipital_4                              , cortical  ,      896.0 
160 , ctx-rh-lateraloccipital_5                              , cortical  ,      815.0 
161 , ctx-rh-lateraloccipital_6                              , cortical  ,      501.0 
162 , ctx-rh-lateraloccipital_7                              , cortical  ,     1373.0 
163 , ctx-rh-lateraloccipital_8                              , cortical  ,     1288.0 
164 , ctx-rh-lateraloccipital_9                              , cortical  ,     1434.0 
165 , ctx-rh-lateraloccipital_10                             , cortical  ,     2064.0 
166 , ctx-rh-lingual_1                                       , cortical  ,     1603.0 
167 , ctx-rh-lingual_2                                       , cortical  ,      973.0 
168 , ctx-rh-lingual_3                                       , cortical  ,      860.0 
169 , ctx-rh-lingual_4                                       , cortical  ,      770.0 
170 , ctx-rh-lingual_5                                       , cortical  ,     1084.0 
171 , ctx-rh-lingual_6                                       , cortical  ,     1008.0 
172 , ctx-rh-lingual_7                                       , cortical  ,      672.0 
173 , ctx-rh-fusiform_1                                      , cortical  ,     1307.0 
174 , ctx-rh-fusiform_2                                      , cortical  ,      953.0 
175 , ctx-rh-fusiform_3                                      , cortical  ,     1548.0 
176 , ctx-rh-fusiform_4                                      , cortical  ,     1291.0 
177 , ctx-rh-fusiform_5                                      , cortical  ,      972.0 
178 , ctx-rh-fusiform_6                                      , cortical  ,     1819.0 
179 , ctx-rh-fusiform_7                                      , cortical  ,     1192.0 
180 , ctx-rh-fusiform_8                                      , cortical  ,     1516.0 
181 , ctx-rh-parahippocampal_1                               , cortical  ,      763.0 
182 , ctx-rh-parahippocampal_2                               , cortical  ,      470.0 
183 , ctx-rh-parahippocampal_3                               , cortical  ,      869.0 
184 , ctx-rh-entorhinal_1                                    , cortical  ,     1928.0 
185 , ctx-rh-temporalpole_1                                  , cortical  ,     2298.0 
186 , ctx-rh-inferiortemporal_1                              , cortical  ,     1365.0 
187 , ctx-rh-inferiortemporal_2                              , cortical  ,     2174.0 
188 , ctx-rh-inferiortemporal_3                              , cortical  ,     1062.0 
189 , ctx-rh-inferiortemporal_4                              , cortical  ,     1277.0 
190 , ctx-rh-inferiortemporal_5                              , cortical  ,     1988.0 
191 , ctx-rh-inferiortemporal_6                              , cortical  ,     1520.0 
192 , ctx-rh-inferiortemporal_7                              , cortical  ,     1901.0 
193 , ctx-rh-middletemporal_1                                , cortical  ,     1974.0 
194 , ctx-rh-middletemporal_2                                , cortical  ,     1408.0 
195 , ctx-rh-middletemporal_3                                , cortical  ,     1458.0 
196 , ctx-rh-middletemporal_4                                , cortical  ,      635.0 
197 , ctx-rh-middletemporal_5                                , cortical  ,     1190.0 
198 , ctx-rh-middletemporal_6                                , cortical  ,     1508.0 
199 , ctx-rh-middletemporal_7                                , cortical  ,     1918.0 
200 , ctx-rh-middletemporal_8                                , cortical  ,     1131.0 
201 , ctx-rh-middletemporal_9                                , cortical  ,     1041.0 
202 , ctx-rh-bankssts_1                                      , cortical  ,      660.0 
203 , ctx-rh-bankssts_2                                      , cortical  ,      664.0 
204 , ctx-rh-bankssts_3                                      , cortical  ,     1593.0 
205 , ctx-rh-superiortemporal_1                              , cortical  ,      519.0 
206 , ctx-rh-superiortemporal_2                              , cortical  ,     1601.0 
207 , ctx-rh-superiortemporal_3                              , cortical  ,      646.0 
208 , ctx-rh-superiortemporal_4                              , cortical  ,     1268.0 
209 , ctx-rh-superiortemporal_5                              , cortical  ,     1014.0 
210 , ctx-rh-superiortemporal_6                              , cortical  ,     1267.0 
211 , ctx-rh-superiortemporal_7                              , cortical  ,      523.0 
212 , ctx-rh-superiortemporal_8                              , cortical  ,     1466.0 
213 , ctx-rh-superiortemporal_9                              , cortical  ,      465.0 
214 , ctx-rh-superiortemporal_10                             , cortical  ,      563.0 
215 , ctx-rh-superiortemporal_11                             , cortical  ,     1597.0 
216 , ctx-rh-transversetemporal_1                            , cortical  ,      837.0 
217 , ctx-rh-insula_1                                        , cortical  ,      494.0 
218 , ctx-rh-insula_2                                        , cortical  ,     1000.0 
219 , ctx-rh-insula_3                                        , cortical  ,      508.0 
220 , ctx-rh-insula_4                                        , cortical  ,     1053.0 
221 , ctx-rh-insula_5                                        , cortical  ,      666.0 
222 , ctx-rh-insula_6                                        , cortical  ,     1809.0 
223 , ctx-rh-insula_7                                        , cortical  ,      519.0 
224 , Right-Thalamus_Proper                                  , subcortical,     9733.0 
225 , Right-Caudate                                          , subcortical,     4530.0 
226 , Right-Putamen                                          , subcortical,     5118.0 
227 , Right-Pallidum                                         , subcortical,     2275.0 
228 , Right-Accumbens_area                                   , subcortical,      517.0 
229 , Right-Hippocampus                                      , subcortical,     4734.0 
230 , Right-Amygdala                                         , subcortical,     1852.0 
231 , ctx-lh-lateralorbitofrontal_1                          , cortical  ,     1074.0 
232 , ctx-lh-lateralorbitofrontal_2                          , cortical  ,      927.0 
233 , ctx-lh-lateralorbitofrontal_3                          , cortical  ,     1582.0 
234 , ctx-lh-lateralorbitofrontal_4                          , cortical  ,      999.0 
235 , ctx-lh-lateralorbitofrontal_5                          , cortical  ,      734.0 
236 , ctx-lh-lateralorbitofrontal_6                          , cortical  ,     1090.0 
237 , ctx-lh-lateralorbitofrontal_7                          , cortical  ,     1399.0 
238 , ctx-lh-parsorbitalis_1                                 , cortical  ,     1179.0 
239 , ctx-lh-parsorbitalis_2                                 , cortical  ,      778.0 
240 , ctx-lh-frontalpole_1                                   , cortical  ,      795.0 
241 , ctx-lh-medialorbitofrontal_1                           , cortical  ,     1063.0 
242 , ctx-lh-medialorbitofrontal_2                           , cortical  ,     1618.0 
243 , ctx-lh-medialorbitofrontal_3                           , cortical  ,      846.0 
244 , ctx-lh-medialorbitofrontal_4                           , cortical  ,      815.0 
245 , ctx-lh-medialorbitofrontal_5                           , cortical  ,      979.0 
246 , ctx-lh-parstriangularis_1                              , cortical  ,      714.0 
247 , ctx-lh-parstriangularis_2                              , cortical  ,      686.0 
248 , ctx-lh-parstriangularis_3                              , cortical  ,     1325.0 
249 , ctx-lh-parstriangularis_4                              , cortical  ,      381.0 
250 , ctx-lh-parsopercularis_1                               , cortical  ,     1643.0 
251 , ctx-lh-parsopercularis_2                               , cortical  ,      765.0 
252 , ctx-lh-parsopercularis_3                               , cortical  ,     2091.0 
253 , ctx-lh-parsopercularis_4                               , cortical  ,     1808.0 
254 , ctx-lh-rostralmiddlefrontal_1                          , cortical  ,     1367.0 
255 , ctx-lh-rostralmiddlefrontal_2                          , cortical  ,     1066.0 
256 , ctx-lh-rostralmiddlefrontal_3                          , cortical  ,     1711.0 
257 , ctx-lh-rostralmiddlefrontal_4                          , cortical  ,     1264.0 
258 , ctx-lh-rostralmiddlefrontal_5                          , cortical  ,      947.0 
259 , ctx-lh-rostralmiddlefrontal_6                          , cortical  ,      998.0 
260 , ctx-lh-rostralmiddlefrontal_7                          , cortical  ,     1206.0 
261 , ctx-lh-rostralmiddlefrontal_8                          , cortical  ,     1320.0 
262 , ctx-lh-rostralmiddlefrontal_9                          , cortical  ,     1415.0 
263 , ctx-lh-rostralmiddlefrontal_10                         , cortical  ,      660.0 
264 , ctx-lh-rostralmiddlefrontal_11                         , cortical  ,      764.0 
265 , ctx-lh-rostralmiddlefrontal_12                         , cortical  ,     1034.0 
266 , ctx-lh-rostralmiddlefrontal_13                         , cortical  ,     1398.0 
267 , ctx-lh-superiorfrontal_1                               , cortical  ,     1580.0 
268 , ctx-lh-superiorfrontal_2                               , cortical  ,      881.0 
269 , ctx-lh-superiorfrontal_3                               , cortical  ,      962.0 
270 , ctx-lh-superiorfrontal_4                               , cortical  ,     1388.0 
271 , ctx-lh-superiorfrontal_5                               , cortical  ,     1015.0 
272 , ctx-lh-superiorfrontal_6                               , cortical  ,     1306.0 
273 , ctx-lh-superiorfrontal_7                               , cortical  ,      893.0 
274 , ctx-lh-superiorfrontal_8                               , cortical  ,     1838.0 
275 , ctx-lh-superiorfrontal_9                               , cortical  ,     1419.0 
276 , ctx-lh-superiorfrontal_10                              , cortical  ,     1108.0 
277 , ctx-lh-superiorfrontal_11                              , cortical  ,     1001.0 
278 , ctx-lh-superiorfrontal_12                              , cortical  ,     1146.0 
279 , ctx-lh-superiorfrontal_13                              , cortical  ,      762.0 
280 , ctx-lh-superiorfrontal_14                              , cortical  ,      757.0 
281 , ctx-lh-superiorfrontal_15                              , cortical  ,     1027.0 
282 , ctx-lh-superiorfrontal_16                              , cortical  ,     1548.0 
283 , ctx-lh-superiorfrontal_17                              , cortical  ,     2313.0 
284 , ctx-lh-caudalmiddlefrontal_1                           , cortical  ,     1226.0 
285 , ctx-lh-caudalmiddlefrontal_2                           , cortical  ,     1271.0 
286 , ctx-lh-caudalmiddlefrontal_3                           , cortical  ,      878.0 
287 , ctx-lh-caudalmiddlefrontal_4                           , cortical  ,     1462.0 
288 , ctx-lh-caudalmiddlefrontal_5                           , cortical  ,     1107.0 
289 , ctx-lh-precentral_1                                    , cortical  ,      569.0 
290 , ctx-lh-precentral_2                                    , cortical  ,     1203.0 
291 , ctx-lh-precentral_3                                    , cortical  ,      633.0 
292 , ctx-lh-precentral_4                                    , cortical  ,     1637.0 
293 , ctx-lh-precentral_5                                    , cortical  ,      799.0 
294 , ctx-lh-precentral_6                                    , cortical  ,     1194.0 
295 , ctx-lh-precentral_7                                    , cortical  ,      534.0 
296 , ctx-lh-precentral_8                                    , cortical  ,      716.0 
297 , ctx-lh-precentral_9                                    , cortical  ,      945.0 
298 , ctx-lh-precentral_10                                   , cortical  ,      770.0 
299 , ctx-lh-precentral_11                                   , cortical  ,      347.0 
300 , ctx-lh-precentral_12                                   , cortical  ,     1748.0 
301 , ctx-lh-precentral_13                                   , cortical  ,      970.0 
302 , ctx-lh-precentral_14                                   , cortical  ,      620.0 
303 , ctx-lh-precentral_15                                   , cortical  ,      380.0 
304 , ctx-lh-precentral_16                                   , cortical  ,      991.0 
305 , ctx-lh-paracentral_1                                   , cortical  ,      625.0 
306 , ctx-lh-paracentral_2                                   , cortical  ,      534.0 
307 , ctx-lh-paracentral_3                                   , cortical  ,      574.0 
308 , ctx-lh-paracentral_4                                   , cortical  ,      527.0 
309 , ctx-lh-paracentral_5                                   , cortical  ,      557.0 
310 , ctx-lh-paracentral_6                                   , cortical  ,      344.0 
311 , ctx-lh-rostralanteriorcingulate_1                      , cortical  ,     1298.0 
312 , ctx-lh-rostralanteriorcingulate_2                      , cortical  ,      828.0 
313 , ctx-lh-caudalanteriorcingulate_1                       , cortical  ,      269.0 
314 , ctx-lh-caudalanteriorcingulate_2                       , cortical  ,      505.0 
315 , ctx-lh-caudalanteriorcingulate_3                       , cortical  ,      668.0 
316 , ctx-lh-posteriorcingulate_1                            , cortical  ,      403.0 
317 , ctx-lh-posteriorcingulate_2                            , cortical  ,      756.0 
318 , ctx-lh-posteriorcingulate_3                            , cortical  ,      667.0 
319 , ctx-lh-posteriorcingulate_4                            , cortical  ,     1035.0 
320 , ctx-lh-isthmuscingulate_1                              , cortical  ,     1190.0 
321 , ctx-lh-isthmuscingulate_2                              , cortical  ,     1091.0 
322 , ctx-lh-postcentral_1                                   , cortical  ,      808.0 
323 , ctx-lh-postcentral_2                                   , cortical  ,     1261.0 
324 , ctx-lh-postcentral_3                                   , cortical  ,     1165.0 
325 , ctx-lh-postcentral_4                                   , cortical  ,     1542.0 
326 , ctx-lh-postcentral_5                                   , cortical  ,      340.0 
327 , ctx-lh-postcentral_6                                   , cortical  ,     1604.0 
328 , ctx-lh-postcentral_7                                   , cortical  ,      740.0 
329 , ctx-lh-postcentral_8                                   , cortical  ,      695.0 
330 , ctx-lh-postcentral_9                                   , cortical  ,      874.0 
331 , ctx-lh-postcentral_10                                  , cortical  ,      551.0 
332 , ctx-lh-postcentral_11                                  , cortical  ,      807.0 
333 , ctx-lh-postcentral_12                                  , cortical  ,      839.0 
334 , ctx-lh-supramarginal_1                                 , cortical  ,      980.0 
335 , ctx-lh-supramarginal_2                                 , cortical  ,     1612.0 
336 , ctx-lh-supramarginal_3                                 , cortical  ,     1412.0 
337 , ctx-lh-supramarginal_4                                 , cortical  ,     1076.0 
338 , ctx-lh-supramarginal_5                                 , cortical  ,     2108.0 
339 , ctx-lh-supramarginal_6                                 , cortical  ,     1735.0 
