index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     4475.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,     3231.0 
3   , ctx-rh-parsorbitalis_1                                 , cortical  ,     2651.0 
4   , ctx-rh-frontalpole_1                                   , cortical  ,      945.0 
5   , ctx-rh-medialorbitofrontal_1                           , cortical  ,     2361.0 
6   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     2864.0 
7   , ctx-rh-parstriangularis_1                              , cortical  ,     4207.0 
8   , ctx-rh-parsopercularis_1                               , cortical  ,     4342.0 
9   , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     9516.0 
10  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     8134.0 
11  , ctx-rh-superiorfrontal_1                               , cortical  ,     5293.0 
12  , ctx-rh-superiorfrontal_2                               , cortical  ,     5687.0 
13  , ctx-rh-superiorfrontal_3                               , cortical  ,     4757.0 
14  , ctx-rh-superiorfrontal_4                               , cortical  ,     2670.0 
15  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     4830.0 
16  , ctx-rh-precentral_1                                    , cortical  ,     3857.0 
17  , ctx-rh-precentral_2                                    , cortical  ,     4734.0 
18  , ctx-rh-precentral_3                                    , cortical  ,     5341.0 
19  , ctx-rh-paracentral_1                                   , cortical  ,     3353.0 
20  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     1972.0 
21  , ctx-rh-caudalanteriorcingulate_1                       , cortical  ,     2308.0 
22  , ctx-rh-posteriorcingulate_1                            , cortical  ,     2596.0 
23  , ctx-rh-isthmuscingulate_1                              , cortical  ,     2193.0 
24  , ctx-rh-postcentral_1                                   , cortical  ,     4363.0 
25  , ctx-rh-postcentral_2                                   , cortical  ,     5553.0 
26  , ctx-rh-supramarginal_1                                 , cortical  ,     4292.0 
27  , ctx-rh-supramarginal_2                                 , cortical  ,     5488.0 
28  , ctx-rh-superiorparietal_1                              , cortical  ,     3450.0 
29  , ctx-rh-superiorparietal_2                              , cortical  ,     3265.0 
30  , ctx-rh-superiorparietal_3                              , cortical  ,     4089.0 
31  , ctx-rh-inferiorparietal_1                              , cortical  ,     5995.0 
32  , ctx-rh-inferiorparietal_2                              , cortical  ,     5065.0 
33  , ctx-rh-inferiorparietal_3                              , cortical  ,     5531.0 
34  , ctx-rh-precuneus_1                                     , cortical  ,     4096.0 
35  , ctx-rh-precuneus_2                                     , cortical  ,     4982.0 
36  , ctx-rh-cuneus_1                                        , cortical  ,     2469.0 
37  , ctx-rh-pericalcarine_1                                 , cortical  ,     1747.0 
38  , ctx-rh-lateraloccipital_1                              , cortical  ,     3441.0 
39  , ctx-rh-lateraloccipital_2                              , cortical  ,     3991.0 
40  , ctx-rh-lateraloccipital_3                              , cortical  ,     3501.0 
41  , ctx-rh-lingual_1                                       , cortical  ,     4220.0 
42  , ctx-rh-lingual_2                                       , cortical  ,     2750.0 
43  , ctx-rh-fusiform_1                                      , cortical  ,     5100.0 
44  , ctx-rh-fusiform_2                                      , cortical  ,     5498.0 
45  , ctx-rh-parahippocampal_1                               , cortical  ,     2102.0 
46  , ctx-rh-entorhinal_1                                    , cortical  ,     1928.0 
47  , ctx-rh-temporalpole_1                                  , cortical  ,     2298.0 
48  , ctx-rh-inferiortemporal_1                              , cortical  ,     5856.0 
49  , ctx-rh-inferiortemporal_2                              , cortical  ,     5431.0 
50  , ctx-rh-middletemporal_1                                , cortical  ,     5478.0 
51  , ctx-rh-middletemporal_2                                , cortical  ,     6785.0 
52  , ctx-rh-bankssts_1                                      , cortical  ,     2917.0 
53  , ctx-rh-superiortemporal_1                              , cortical  ,     6320.0 
54  , ctx-rh-superiortemporal_2                              , cortical  ,     4609.0 
55  , ctx-rh-transversetemporal_1                            , cortical  ,      837.0 
56  , ctx-rh-insula_1                                        , cortical  ,     3047.0 
57  , ctx-rh-insula_2                                        , cortical  ,     3002.0 
58  , Right-Thalamus_Proper                                  , subcortical,     9733.0 
59  , Right-Caudate                                          , subcortical,     4530.0 
60  , Right-Putamen                                          , subcortical,     5118.0 
61  , Right-Pallidum                                         , subcortical,     2275.0 
62  , Right-Accumbens_area                                   , subcortical,      517.0 
63  , Right-Hippocampus                                      , subcortical,     4734.0 
64  , Right-Amygdala                                         , subcortical,     1852.0 
65  , ctx-lh-lateralorbitofrontal_1                          , cortical  ,     4578.0 
66  , ctx-lh-lateralorbitofrontal_2                          , cortical  ,     3227.0 
67  , ctx-lh-parsorbitalis_1                                 , cortical  ,     1957.0 
68  , ctx-lh-frontalpole_1                                   , cortical  ,      795.0 
69  , ctx-lh-medialorbitofrontal_1                           , cortical  ,     2681.0 
70  , ctx-lh-medialorbitofrontal_2                           , cortical  ,     2640.0 
71  , ctx-lh-parstriangularis_1                              , cortical  ,     3106.0 
72  , ctx-lh-parsopercularis_1                               , cortical  ,     6307.0 
73  , ctx-lh-rostralmiddlefrontal_1                          , cortical  ,     8773.0 
74  , ctx-lh-rostralmiddlefrontal_2                          , cortical  ,     6377.0 
75  , ctx-lh-superiorfrontal_1                               , cortical  ,     5837.0 
76  , ctx-lh-superiorfrontal_2                               , cortical  ,     5449.0 
77  , ctx-lh-superiorfrontal_3                               , cortical  ,     5843.0 
78  , ctx-lh-superiorfrontal_4                               , cortical  ,     3815.0 
79  , ctx-lh-caudalmiddlefrontal_1                           , cortical  ,     5944.0 
80  , ctx-lh-precentral_1                                    , cortical  ,     4831.0 
81  , ctx-lh-precentral_2                                    , cortical  ,     4167.0 
82  , ctx-lh-precentral_3                                    , cortical  ,     5058.0 
83  , ctx-lh-paracentral_1                                   , cortical  ,     3161.0 
84  , ctx-lh-rostralanteriorcingulate_1                      , cortical  ,     2127.0 
85  , ctx-lh-caudalanteriorcingulate_1                       , cortical  ,     1442.0 
86  , ctx-lh-posteriorcingulate_1                            , cortical  ,     2862.0 
87  , ctx-lh-isthmuscingulate_1                              , cortical  ,     2281.0 
88  , ctx-lh-postcentral_1                                   , cortical  ,     4771.0 
89  , ctx-lh-postcentral_2                                   , cortical  ,     6455.0 
