onset	duration	trial_type	trial_type_id	response_time	bad_epoch	outliers	direction	name_direction	event_num	response_accuracy
62.2109375	0.2	RANDOM	0	0.640567965278024	0	0	0	NONE	1.0	1
63.48095703125	0.2	COHERENT	1	0.69358900484076	0	0	180	LEFT	5.0	1
65.03076171875	0.2	COHERENT	1	0.789340554292721	0	0	180	LEFT	8.0	1
66.6806640625	0.2	RANDOM	0	0.573841613619152	0	0	0	NONE	11.0	1
67.96044921875	0.2	COHERENT	1	0.708840069677535	0	0	180	LEFT	15.0	1
69.45068359375	0.2	RANDOM	0	0.624811912286532	0	0	0	NONE	19.0	1
70.75048828125	0.2	COHERENT	1	n/a	0	1	0	RIGHT	23.0	0
72.68017578125	0.2	RANDOM	0	0.87932503639604	0	0	0	NONE	24.0	1
74.22021484375	0.2	RANDOM	0	0.818146310131851	0	0	0	NONE	27.0	1
75.83984375	0.2	RANDOM	0	0.820994527835865	0	0	0	NONE	30.0	1
77.5498046875	0.2	COHERENT	1	0.589853631914593	0	0	180	LEFT	33.0	1
78.94970703125	0.2	RANDOM	0	0.629616393129254	0	0	0	NONE	37.0	1
80.36962890625	0.2	RANDOM	0	n/a	0	1	0	NONE	41.0	0
82.45947265625	0.2	COHERENT	1	0.765072145692102	0	0	0	RIGHT	42.0	1
83.9794921875	0.2	RANDOM	0	0.670622155666933	0	0	0	NONE	45.0	1
85.33935546875	0.2	COHERENT	1	0.607849683168752	0	0	0	RIGHT	49.0	1
86.5390625	0.2	RANDOM	0	0.607370351914142	0	0	0	NONE	53.0	1
88.00927734375	0.2	COHERENT	1	0.61945867563918	0	0	180	LEFT	57.0	1
89.47900390625	0.2	COHERENT	1	0.749117478113476	0	0	180	LEFT	61.0	1
90.87890625	0.2	COHERENT	1	0.828073417371343	0	0	0	RIGHT	65.0	1
92.57861328125	0.2	COHERENT	1	0.644805579559034	0	0	0	RIGHT	68.0	1
93.82861328125	0.2	RANDOM	0	0.798571604937024	0	0	0	NONE	72.0	1
95.44873046875	0.2	RANDOM	0	0.894865571426635	0	0	0	NONE	75.0	1
97.16845703125	0.2	RANDOM	0	0.894252824295108	0	0	0	NONE	78.0	1
98.66845703125	0.2	RANDOM	0	n/a	0	1	0	NONE	82.0	0
100.38818359375	0.2	COHERENT	1	0.712877560141351	0	0	180	LEFT	84.0	1
101.76806640625	0.2	RANDOM	0	0.653595331532415	0	0	0	NONE	88.0	1
103.1279296875	0.2	RANDOM	0	n/a	0	1	0	NONE	92.0	0
105.1279296875	0.2	RANDOM	0	0.979856919017038	0	0	0	NONE	93.0	1
106.927734375	0.2	COHERENT	1	0.714588120736153	0	0	0	RIGHT	96.0	1
108.37744140625	0.2	RANDOM	0	n/a	0	1	0	NONE	100.0	0
110.197265625	0.2	RANDOM	0	n/a	0	1	0	NONE	101.0	0
111.8271484375	0.2	RANDOM	0	0.759372389977216	0	0	0	NONE	104.0	1
113.26708984375	0.2	RANDOM	0	0.853234987920587	0	0	0	NONE	108.0	1
114.7373046875	0.2	COHERENT	1	0.788025109955925	0	0	0	RIGHT	112.0	1
116.3369140625	0.2	COHERENT	1	0.684801667637657	0	0	0	RIGHT	115.0	1
117.73681640625	0.2	RANDOM	0	0.838332856917987	0	0	0	NONE	119.0	1
119.4365234375	0.2	COHERENT	1	0.594492097523471	0	0	0	RIGHT	122.0	1
