source	target	number_of_fibers	fiber_length_mean	fiber_length_median	fiber_length_std	fiber_proportion	fiber_density	normalized_fiber_density	FA_mean	FA_std	FA_median	ADC_mean	ADC_std	ADC_median
1	1	213	6.551643371582031	5.999996185302734	1.9445747137069702	0.12485931344963422	0.009233435698407507	0.05438873156768591	0.1836608201265335	0.083716481924057	0.16834419965744019	0.0008264362695626915	8.722221537027508e-05	0.0008168924250639975
1	108	95	9.710526466369629	9.000000953674316	3.1284596920013428	0.05568842618645657	0.0024075791018263216	0.014181630519156184	0.17933440208435059	0.06496473401784897	0.1640157401561737	0.0008143282029777765	6.015870894771069e-05	0.0008144747116602957
1	2	87	10.718389511108398	11.499987602233887	3.4688289165496826	0.05099887450759707	0.002098201127044268	0.012359267081213194	0.20520557463169098	0.08692380040884018	0.19999954104423523	0.000805902702268213	0.00010312359518138692	0.0007919629570096731
1	4	17	22.117643356323242	21.00001335144043	5.5054240226745605	0.009965297317576439	0.00024999744672087206	0.0014725877199376013	0.35883504152297974	0.0826316550374031	0.3694554269313812	0.0007719581481069326	5.334125671652146e-05	0.0007707999320700765
1	8	37	15.702702522277832	12.999995231628418	8.468113899230957	0.021689176514725194	0.000771287168254903	0.004543198450285577	0.29830268025398254	0.1286253184080124	0.2901586592197418	0.0007962524541653693	5.448898809845559e-05	0.0007873631548136473
1	40	39	14.576926231384277	12.500001907348633	6.353413105010986	0.022861564434440065	0.000696462622010216	0.004102451117082392	0.28864023089408875	0.10881839692592621	0.26385051012039185	0.0007808383088558912	5.2066454372834414e-05	0.0007762006716802716
1	3	125	9.82800006866455	7.500001907348633	5.336329936981201	0.0732742449821797	0.003328212123485933	0.019604537432996293	0.22379913926124573	0.11181217432022095	0.18889613449573517	0.0007913707522675395	7.727685442660004e-05	0.0007926728576421738
1	9	61	10.22131061553955	10.000000953674316	2.409891366958618	0.035757831551303694	0.002173710987903685	0.012804051199188319	0.2548103630542755	0.0945386067032814	0.23181934654712677	0.0007830497343093157	4.2187788494629785e-05	0.0007797832367941737
1	115	11	24.81818389892578	24.5	0.9599412083625793	0.006448133558431814	0.0001302640429283804	0.0007673087564767606	0.301372230052948	0.08416511863470078	0.2936747372150421	0.0007855119765736163	4.5750090066576377e-05	0.0007809387752786279
1	111	26	9.807693481445312	8.75	3.92496395111084	0.01524104295629338	0.0004882099585444036	0.002875757329259601	0.22086139023303986	0.05714540183544159	0.22356581687927246	0.0007843805360607803	3.81251702492591e-05	0.0007871099514886737
1	90	6	32.58333969116211	33.25	4.391439437866211	0.003517163759144626	4.8022737403943526e-05	0.0002828736625370151	0.30812498927116394	0.07891806215047836	0.31226879358291626	0.0008071039337664843	7.475699385395274e-05	0.0007735295221209526
1	155	1	33.0	33.0	0.0	0.0005861939598574376	6.610608704849543e-06	3.893920249090811e-05	0.39658600091934204	0.15280386805534363	0.4390751123428345	0.0007654001237824559	6.959739403100684e-05	0.0007546624401584268
1	113	5	9.300000190734863	8.500012397766113	0.9797950387001038	0.0029309697992871884	0.00022471657160950446	0.0013236729741008479	0.24268239736557007	0.09417352080345154	0.22254221141338348	0.0007613659836351871	5.190453157410957e-05	0.0007516000187024474
1	103	2	30.00000762939453	30.00000762939453	8.635888661956415e-06	0.0011723879197148752	2.5015628409929043e-05	0.0001473523337384876	0.27766939997673035	0.06347204744815826	0.280597984790802	0.0008050683536566794	5.9613263147184625e-05	0.0007842878112569451
1	122	2	62.50001525878906	62.50001525878906	1.5000019073486328	0.0011723879197148752	7.945373603352429e-06	4.680151638379239e-05	0.4450678527355194	0.15865640342235565	0.3979499638080597	0.000760502414777875	6.893256795592606e-05	0.00076969841029495
1	5	1	22.500001907348633	22.500001907348633	0.0	0.0005861939598574376	1.0239474870831132e-05	6.031471581480232e-05	0.22338829934597015	0.08300866186618805	0.2030041217803955	0.0007155657513067126	8.271716797025874e-05	0.0006863953312858939
2	2	468	7.131411075592041	6.500012397766113	1.9074009656906128	0.2743387732132808	0.0155657402753781	0.09168860835147964	0.16183149814605713	0.06486547738313675	0.1528785675764084	0.0007652489584870636	0.00012792144843842834	0.0007368921651504934
2	3	125	9.684000968933105	7.500001430511475	7.568760395050049	0.0732742449821797	0.0030961592733130166	0.018237650762658843	0.22813653945922852	0.1140434518456459	0.21124298870563507	0.0008084524888545275	0.0001464850502088666	0.0007837672019377351
2	19	15	42.26667022705078	44.0000114440918	6.136952877044678	0.008792909397861565	6.893067107134287e-05	0.0004060299858184227	0.3562666177749634	0.0865398496389389	0.3624293804168701	0.0007585816783830523	7.102172094164416e-05	0.0007665317971259356
2	4	52	33.230770111083984	35.75001525878906	6.457301139831543	0.03048208591258676	0.00045728076369414954	0.0026935716584799525	0.3518786132335663	0.09351182729005814	0.3509714901447296	0.0007823179475963116	6.752451008651406e-05	0.0007770520751364529
2	10	67	17.05223846435547	16.500015258789062	9.411462783813477	0.03927499531044832	0.00137429273289693	0.008095149084954808	0.2629108130931854	0.12455464899539948	0.24042686820030212	0.0006673800526186824	6.514647247968242e-05	0.0006565641378983855
2	108	29	10.689655303955078	12.000001907348633	3.7472152709960938	0.01699962483586569	0.0006150313290462228	0.00362278733007058	0.19735167920589447	0.08138370513916016	0.1793486475944519	0.0007618629606440663	7.003109931247309e-05	0.0007753075915388763
2	5	94	14.122340202331543	13.000004768371582	9.12696647644043	0.05510223222659914	0.00141982095403273	0.008363329021328475	0.21900664269924164	0.10507459938526154	0.1909947544336319	0.0007771672098897398	0.0001346084609394893	0.0007473884616047144
2	21	1	49.00001907348633	49.00001907348633	0.0	0.0005861939598574376	3.897661444104896e-06	2.295882799743782e-05	0.3289029598236084	0.09305994212627411	0.3216637969017029	0.0007725288742221892	4.386172804515809e-05	0.0007696498068980873
2	11	7	38.14285659790039	39.0000114440918	2.386186361312866	0.004103357719002064	3.626889365077907e-05	0.00021363869154028856	0.28068703413009644	0.10408947616815567	0.28642192482948303	0.0006725920247845352	7.763591565890238e-05	0.0006614222074858844
2	40	2	26.5	26.5	1.9073486328125e-06	0.0011723879197148752	1.8016638365530567e-05	0.00010612540551767931	0.34094271063804626	0.1299716830253601	0.32263097167015076	0.0008087343885563314	5.753693767474033e-05	0.0008048869203776121
2	111	1	19.000011444091797	19.000011444091797	0.0	0.0005861939598574376	9.109744222639932e-06	5.3660137933369057e-05	0.254260778427124	0.0688835084438324	0.26658710837364197	0.0007964466931298375	4.5726374082732946e-05	0.0008038760861381888
2	8	1	39.0	39.0	0.0	0.0005861939598574376	7.535936999566683e-06	4.4389766492998376e-05	0.32502084970474243	0.12779149413108826	0.3366187810897827	0.0007918861811049283	7.879028999013826e-05	0.0007924866513349116
3	18	5	28.399999618530273	29.49999237060547	3.813133478164673	0.0029309697992871884	4.325177260605909e-05	0.00025477071882389985	0.25817230343818665	0.1028980016708374	0.2700074315071106	0.0008045507711358368	8.70816147653386e-05	0.0007803795160725713
3	3	287	7.263067245483398	6.9999918937683105	2.40055775642395	0.1682376664790846	0.009586362427967832	0.056467615071518436	0.18207204341888428	0.09016818553209305	0.1740931272506714	0.0007884569349698722	8.408461144426838e-05	0.000788710662163794
3	19	73	10.70548152923584	9.500005722045898	4.538147926330566	0.042792159069592946	0.0013366532621352481	0.007873437130870376	0.2862827479839325	0.10046235471963882	0.27453964948654175	0.0007879632757976651	8.326130773639306e-05	0.0007924499805085361
3	108	6	13.99999713897705	13.500008583068848	1.5275214910507202	0.003517163759144626	9.820612194174648e-05	0.0005784744248031417	0.22510826587677002	0.0701257586479187	0.2063942849636078	0.0007306899060495198	7.050629210425541e-05	0.0007120455848053098
3	5	74	11.89189338684082	11.999996185302734	4.125784873962402	0.04337835302945039	0.001340815878142271	0.007897956650150114	0.2350677251815796	0.10494272410869598	0.20389153063297272	0.0007972717867232859	0.0001340943417744711	0.0007543371757492423
3	7	22	11.000000953674316	10.499996185302734	2.8001599311828613	0.012896267116863628	0.0004918233927467564	0.002897041941974579	0.16874539852142334	0.07959780842065811	0.1350250393152237	0.0009385395678691566	9.894152753986418e-05	0.0009399192058481276
3	10	63	12.809523582458496	12.999998092651367	2.5408236980438232	0.03693021947101857	0.0017490098508408998	0.010302386933070918	0.2546355128288269	0.10159014165401459	0.24217720329761505	0.0006812232895754278	6.571787525899708e-05	0.0006739811506122351
3	4	65	15.715383529663086	14.500000953674316	7.517145156860352	0.03810260739073345	0.0012255036107077528	0.007218719997098107	0.26655176281929016	0.0865095779299736	0.26935774087905884	0.0007798574515618384	7.972388266352937e-05	0.0007775568519718945
3	8	50	7.590001106262207	6.749996185302734	2.255413770675659	0.02930969799287188	0.0019632288252437982	0.01156422474470085	0.131357803940773	0.06611496210098267	0.11405958235263824	0.0008696813019923866	8.255989087047055e-05	0.000868129834998399
3	9	13	15.692305564880371	16.499996185302734	2.7772326469421387	0.00762052147814669	0.00027197356692731234	0.001602036101000506	0.1649966537952423	0.06295949965715408	0.16067753732204437	0.0008205330232158303	8.537177927792072e-05	0.0008070360636338592
3	122	3	71.50000762939453	71.49998474121094	1.2247511148452759	0.001758581879572313	9.694555795036316e-06	5.710491847526736e-05	0.46769002079963684	0.20207281410694122	0.44426751136779785	0.0008060024701990187	6.0438807850005105e-05	0.000808931770734489
3	119	2	65.25	65.25	5.2500152587890625	0.0011723879197148752	8.252918954272639e-06	4.861308491390886e-05	0.4525749981403351	0.16977694630622864	0.4345812499523163	0.0009242803789675236	0.00021261547226458788	0.0008331166463904083
3	31	4	39.624996185302734	39.75	0.41458213329315186	0.0023447758394297504	2.861697574992262e-05	0.00016856574986599603	0.38170555233955383	0.0934842973947525	0.3673378527164459	0.0006903461762703955	5.8800702390726656e-05	0.0007022270583547652
3	40	1	18.999996185302734	18.999996185302734	0.0	0.0005861939598574376	1.2706805773635678e-05	7.4848309002053e-05	0.48612180352211	0.12272057682275772	0.5002648234367371	0.0008049986208789051	2.7897656764253043e-05	0.0008158917771652341
3	11	4	29.000001907348633	31.00000762939453	3.758334159851074	0.0023447758394297504	2.7514666948124168e-05	0.00016207269793126996	0.4189912974834442	0.09736000001430511	0.4301401972770691	0.0007404176285490394	5.2040897571714595e-05	0.0007263998850248754
3	12	2	37.25	37.25	0.7499980926513672	0.0011723879197148752	1.6238099249292374e-05	9.564907907373257e-05	0.3845615088939667	0.08912888169288635	0.36542558670043945	0.0007066954858601093	6.461804150603712e-05	0.0007083822274580598
3	110	1	24.5	24.5	0.0	0.0005861939598574376	7.485800372418568e-06	4.409444115097663e-05	0.18406406044960022	0.0969540998339653	0.1483498513698578	0.0009261686354875565	0.00018061671289615333	0.0008336722967214882
4	18	17	13.970589637756348	14.499991416931152	6.035364151000977	0.009965297317576439	0.0003661326863572503	0.002156672017532402	0.28286904096603394	0.06401801109313965	0.28711357712745667	0.0007412246777676046	6.468362698797137e-05	0.0007400063332170248
4	19	172	7.520349025726318	6.500004291534424	2.7324259281158447	0.10082536109547928	0.0052523318178818975	0.030938393321617373	0.24722565710544586	0.08556505292654037	0.2531333565711975	0.000730068888515234	0.00011891927715623751	0.0007229443872347474
4	126	1	86.50000762939453	86.50000762939453	0.0	0.0005861939598574376	2.4325497363393523e-06	1.4328717820347688e-05	0.23598192632198334	0.10422754287719727	0.25344347953796387	0.001246018335223198	0.000612306350376457	0.0008401728700846434
4	4	136	8.540440559387207	8.499988555908203	2.405611991882324	0.07972237854061151	0.006059450933198344	0.03569265666843046	0.2299487441778183	0.0739687830209732	0.23250816762447357	0.000840660824906081	0.00010671254858607426	0.0008484981372021139
4	6	104	7.9951910972595215	6.499993324279785	4.181285381317139	0.06096417182517352	0.005721495125205662	0.033701958046267036	0.22725223004817963	0.0813714936375618	0.21931499242782593	0.0007650895277038217	0.00013076505274511874	0.0007897106697782874
4	7	114	7.63157844543457	7.000000476837158	2.5632803440093994	0.06682611142374789	0.004500054832643515	0.026507172663229602	0.21408620476722717	0.09169257432222366	0.215761199593544	0.000887614325620234	0.00013948857667855918	0.0008776530157774687
